survey_tour_id,household_id,participant_num,survey_participant_id,person_id,tour_id,participant_id
70,17100303,1,710,43,1782,178201
70,17100303,2,720,44,1782,178202
180,17100652,1,1810,74,3055,305501
180,17100652,3,1830,76,3055,305502
1500,17104660,1,15010,564,23145,2314501
1500,17104660,2,15020,565,23145,2314502
1880,17105864,2,18820,704,28883,2888301
1880,17105864,3,18830,705,28883,2888302
1860,17105864,2,18620,704,28885,2888501
1860,17105864,3,18630,705,28885,2888502
2140,17107519,1,21410,895,36714,3671401
2140,17107519,2,21420,896,36714,3671402
2590,17109615,1,25910,1097,44994,4499401
2590,17109615,3,25930,1099,44994,4499402
2590,17109615,4,25940,1100,44994,4499403
2750,17110378,1,27510,1179,48352,4835201
2750,17110378,3,27530,1181,48352,4835202
2750,17110378,4,27540,1182,48352,4835203
2830,17110481,1,28310,1203,49344,4934401
2830,17110481,2,28320,1204,49344,4934402
3030,17111733,1,30310,1305,53524,5352401
3030,17111733,2,30320,1306,53524,5352402
3780,17114508,1,37810,1608,65947,6594701
3780,17114508,3,37830,1610,65947,6594702
4060,17115092,1,40610,1680,68901,6890101
4060,17115092,2,40620,1681,68901,6890102
4060,17115092,3,40630,1682,68901,6890103
4570,17116850,2,45720,1875,76894,7689401
4570,17116850,3,45730,1876,76894,7689402
4580,17116850,2,45820,1875,76896,7689601
4580,17116850,3,45830,1876,76896,7689602
5000,17119143,1,50010,2091,85750,8575001
5000,17119143,2,50020,2092,85750,8575002
5000,17119143,3,50030,2093,85750,8575003
5180,17119780,1,51810,2166,88827,8882701
5180,17119780,2,51820,2167,88827,8882702
5280,17120168,1,52810,2213,90754,9075401
5280,17120168,2,52820,2214,90754,9075402
5320,17120251,1,53210,2220,91041,9104101
5320,17120251,3,53230,2222,91041,9104102
5860,17123158,1,58610,2521,103380,10338001
5860,17123158,2,58620,2522,103380,10338002
5880,17123194,1,58810,2529,103706,10370601
5880,17123194,2,58820,2530,103706,10370602
6080,17124053,2,60820,2639,108216,10821602
6080,17124053,3,60830,2640,108216,10821603
6070,17124053,1,60710,2638,108179,10817901
6070,17124053,3,60730,2640,108179,10817903
6460,17125955,1,64610,2865,117478,11747801
6460,17125955,2,64620,2866,117478,11747802
6460,17125955,4,64640,2868,117478,11747803
6460,17125955,5,64650,2869,117478,11747804
6570,17126082,1,65710,2886,118347,11834701
6570,17126082,2,65720,2887,118347,11834702
6710,17126705,1,67110,2958,121295,12129501
6710,17126705,3,67130,2960,121295,12129502
7430,17129082,1,74310,3241,132900,13290001
7430,17129082,3,74330,3243,132900,13290002
7580,17129494,1,75810,3301,135362,13536201
7580,17129494,2,75820,3302,135362,13536202
8020,17130258,3,80230,3401,139458,13945801
8020,17130258,4,80240,3402,139458,13945802
8330,17130743,2,83320,3472,142371,14237101
8330,17130743,3,83330,3473,142371,14237102
8890,17132859,1,88910,3698,151637,15163701
8890,17132859,3,88930,3700,151637,15163702
9030,17133389,1,90310,3773,154714,15471401
9030,17133389,3,90330,3775,154714,15471402
9420,17135145,2,94220,3974,162951,16295101
9420,17135145,3,94230,3975,162951,16295102
9420,17135145,4,94240,3976,162951,16295103
10340,17138624,2,103420,4402,180499,18049901
10340,17138624,4,103440,4404,180499,18049902
10580,17139080,1,105810,4452,182545,18254501
10580,17139080,3,105830,4454,182545,18254502
10730,17139904,1,107310,4554,186731,18673101
10730,17139904,2,107320,4555,186731,18673102
10740,17139904,1,107410,4554,186735,18673501
10740,17139904,2,107420,4555,186735,18673502
10940,17141957,1,109410,4807,197106,19710601
10940,17141957,3,109430,4809,197106,19710603
10950,17141957,2,109520,4808,197149,19714902
10950,17141957,3,109530,4809,197149,19714903
11310,17143031,1,113110,4934,202307,20230701
11310,17143031,2,113120,4935,202307,20230702
11560,17143513,2,115620,4990,204609,20460901
11560,17143513,4,115640,4992,204609,20460902
11610,17143662,1,116110,5012,205511,20551101
11610,17143662,3,116130,5014,205511,20551102
11710,17144473,1,117110,5139,210720,21072001
11710,17144473,3,117130,5141,210720,21072002
11760,17144837,1,117610,5179,212360,21236001
11760,17144837,3,117630,5181,212360,21236002
11760,17144837,4,117640,5182,212360,21236003
12080,17146110,1,120810,5281,216540,21654001
12080,17146110,4,120840,5284,216540,21654003
12090,17146110,1,120910,5281,216541,21654101
12090,17146110,3,120930,5283,216541,21654102
12090,17146110,4,120940,5284,216541,21654103
12400,17146990,1,124010,5374,220347,22034701
12400,17146990,3,124030,5376,220347,22034702
12550,17147739,1,125510,5455,223668,22366801
12550,17147739,2,125520,5456,223668,22366802
13200,17150862,1,132010,5786,237243,23724301
13200,17150862,2,132020,5787,237243,23724302
13580,17152111,1,135810,5935,243356,24335601
13580,17152111,2,135820,5936,243356,24335602
13790,17153090,1,137910,6038,247579,24757901
13790,17153090,2,137920,6039,247579,24757902
13830,17153104,1,138310,6040,247653,24765301
13830,17153104,2,138320,6041,247653,24765302
14250,191000396,2,142520,6201,254262,25426201
14250,191000396,3,142530,6202,254262,25426202
14290,191000511,2,142920,6216,254873,25487301
14290,191000511,4,142940,6218,254873,25487302
14600,191001429,1,146010,6291,257952,25795201
14600,191001429,3,146030,6293,257952,25795202
14600,191001429,4,146040,6294,257952,25795203
14720,191001755,1,147210,6321,259180,25918001
14720,191001755,2,147220,6322,259180,25918002
15110,191002674,1,151110,6377,261474,26147401
15110,191002674,2,151120,6378,261474,26147402
15210,191003031,1,152110,6394,262171,26217101
15210,191003031,5,152150,6396,262171,26217102
15580,191003855,1,155810,6471,265324,26532401
15580,191003855,4,155840,6473,265324,26532402
15570,191003855,1,155710,6471,265330,26533001
15570,191003855,4,155740,6473,265330,26533002
15700,191004013,2,157020,6486,265939,26593901
15700,191004013,3,157030,6487,265939,26593902
15700,191004013,4,157040,6488,265939,26593903
15760,191004031,1,157610,6492,266189,26618901
15760,191004031,2,157620,6493,266189,26618902
15760,191004031,3,157630,6494,266189,26618903
15760,191004031,4,157640,6495,266189,26618904
15760,191004031,6,157660,6497,266189,26618905
15950,191004408,1,159510,6524,267505,26750501
15950,191004408,2,159520,6525,267505,26750502
16150,191004973,1,161510,6586,270039,27003901
16150,191004973,2,161520,6587,270039,27003902
16200,191005127,1,162010,6595,270408,27040801
16200,191005127,2,162020,6596,270408,27040802
16430,191005819,2,164320,6648,272589,27258901
16430,191005819,3,164330,6649,272589,27258902
16430,191005819,4,164340,6650,272589,27258903
16730,191006642,2,167320,6709,275090,27509001
16730,191006642,8,167380,6710,275090,27509002
17250,191007500,1,172510,6779,277952,27795201
17250,191007500,2,172520,6780,277952,27795202
17540,191008224,2,175420,6842,280539,28053901
17540,191008224,3,175430,6843,280539,28053902
17740,191008702,1,177410,6875,281892,28189201
17740,191008702,3,177430,6877,281892,28189202
18400,191009807,1,184010,6982,286283,28628301
18400,191009807,2,184020,6983,286283,28628302
18620,191010405,2,186220,7024,288001,28800101
18620,191010405,3,186230,7025,288001,28800102
18890,191011470,2,188920,7107,291408,29140801
18890,191011470,3,188930,7108,291408,29140802
19390,191012685,1,193910,7208,295545,29554501
19390,191012685,3,193930,7210,295545,29554502
19410,191012707,1,194110,7212,295709,29570901
19410,191012707,3,194130,7214,295709,29570902
19880,191013965,1,198810,7320,300139,30013901
19880,191013965,3,198830,7322,300139,30013902
19980,191013989,1,199810,7324,300297,30029701
19980,191013989,2,199820,7325,300297,30029702
20260,191014836,3,202630,7384,302765,30276501
20260,191014836,4,202640,7385,302765,30276502
20390,191015234,1,203910,7411,303872,30387201
20390,191015234,2,203920,7412,303872,30387202
21100,191016902,1,211010,7524,308503,30850301
21100,191016902,2,211020,7525,308503,30850302
21280,191017353,1,212810,7554,309731,30973101
21280,191017353,2,212820,7555,309731,30973102
21400,191017590,1,214010,7582,310875,31087501
21400,191017590,2,214020,7583,310875,31087502
21540,191017994,1,215410,7607,311908,31190801
21540,191017994,3,215430,7609,311908,31190802
21540,191017994,4,215440,7610,311908,31190803
21830,191018362,2,218320,7648,313585,31358501
21830,191018362,4,218340,7650,313585,31358502
22010,191018738,2,220120,7678,314815,31481501
22010,191018738,3,220130,7679,314815,31481502
22010,191018738,4,220140,7680,314815,31481503
22240,191019214,1,222410,7719,316500,31650001
22240,191019214,4,222440,7721,316500,31650002
22240,191019214,5,222450,7722,316500,31650003
22590,191020003,2,225920,7788,319321,31932101
22590,191020003,3,225930,7789,319321,31932102
22790,191020612,1,227910,7838,321377,32137701
22790,191020612,4,227940,7840,321377,32137702
22800,191020612,1,228010,7838,321378,32137801
22800,191020612,4,228040,7840,321378,32137802
22930,191020747,1,229310,7847,321746,32174601
22930,191020747,2,229320,7848,321746,32174602
23210,191021299,1,232110,7899,323876,32387601
23210,191021299,3,232130,7901,323876,32387603
23210,191021299,4,232140,7902,323876,32387604
23220,191021299,2,232220,7900,323921,32392102
23220,191021299,3,232230,7901,323921,32392103
23220,191021299,4,232240,7902,323921,32392104
23570,191022171,1,235710,7982,327283,32728301
23570,191022171,2,235720,7983,327283,32728302
23570,191022171,6,235760,7986,327283,32728303
23980,191022879,1,239810,8033,329366,32936601
23980,191022879,3,239830,8035,329366,32936602
24120,191024054,1,241210,8110,332523,33252301
24120,191024054,2,241220,8111,332523,33252302
24920,191025482,2,249220,8234,337613,33761301
24920,191025482,3,249230,8235,337613,33761302
24910,191025482,2,249120,8234,337615,33761501
24910,191025482,3,249130,8235,337615,33761502
25940,191028611,3,259430,8476,347537,34753701
25940,191028611,4,259440,8477,347537,34753702
26580,191029740,1,265810,8586,352039,35203901
26580,191029740,3,265830,8588,352039,35203902
26640,191029827,1,266410,8590,352211,35221101
26640,191029827,2,266420,8591,352211,35221102
27580,191032252,2,275820,8801,360862,36086201
27580,191032252,3,275830,8802,360862,36086202
27980,191033337,1,279810,8877,363970,36397001
27980,191033337,2,279820,8878,363970,36397002
28260,191034124,2,282620,8939,366516,36651601
28260,191034124,3,282630,8940,366516,36651602
28250,191034124,2,282520,8939,366520,36652001
28250,191034124,3,282530,8940,366520,36652002
28790,191036219,3,287930,9074,372053,37205301
28790,191036219,4,287940,9075,372053,37205302
28790,191036219,5,287950,9076,372053,37205303
29110,191037223,1,291110,9155,375368,37536801
29110,191037223,3,291130,9156,375368,37536802
29450,191037900,1,294510,9206,377459,37745901
29450,191037900,2,294520,9207,377459,37745902
29660,191038189,4,296640,9232,378533,37853301
29660,191038189,5,296650,9233,378533,37853302
31140,191043773,2,311420,9622,394523,39452301
31140,191043773,3,311430,9623,394523,39452302
31430,191044941,1,314310,9704,397883,39788301
31430,191044941,3,314330,9706,397883,39788302
31440,191044941,1,314410,9704,397884,39788401
31440,191044941,3,314430,9706,397884,39788402
31800,191046475,1,318010,9800,401821,40182101
31800,191046475,2,318020,9801,401821,40182102
31930,191047067,1,319310,9837,403336,40333601
31930,191047067,2,319320,9838,403336,40333602
31930,191047067,3,319330,9839,403336,40333603
32210,191047667,3,322130,9909,406286,40628601
32210,191047667,4,322140,9910,406286,40628602
32250,191047698,1,322510,9914,406491,40649101
32250,191047698,3,322530,9916,406491,40649102
32250,191047698,4,322540,9917,406491,40649103
32510,191048081,1,325110,9951,408012,40801201
32510,191048081,2,325120,9952,408012,40801202
32830,191048987,1,328310,10046,411907,41190701
32830,191048987,4,328340,10049,411907,41190702
32830,191048987,5,328350,10050,411907,41190703
32870,191049022,2,328720,10053,412186,41218601
32870,191049022,3,328730,10054,412186,41218602
33470,191050791,1,334710,10213,418754,41875401
33470,191050791,2,334720,10214,418754,41875402
33620,191051415,2,336220,10253,420392,42039201
33620,191051415,4,336240,10255,420392,42039202
33700,191051520,1,337010,10264,420843,42084301
33700,191051520,2,337020,10265,420843,42084302
33790,191051715,2,337920,10289,421870,42187001
33790,191051715,3,337930,10290,421870,42187002
34740,192003096,3,347430,10625,435646,43564601
34740,192003096,4,347440,10626,435646,43564602
35240,192007369,1,352410,10914,447493,44749301
35240,192007369,3,352430,10916,447493,44749303
35250,192007369,1,352510,10914,447495,44749501
35250,192007369,2,352520,10915,447495,44749502
35250,192007369,3,352530,10916,447495,44749503
36060,192016109,1,360610,11390,467009,46700901
36060,192016109,2,360620,11391,467009,46700902
36250,192017305,1,362510,11508,471841,47184101
36250,192017305,2,362520,11509,471841,47184102
