tour_id,household_id,participant_id,person_id,participant_num
18,17100342_2,181,16,1
18,17100342_2,182,17,2
31,17100652_2,311,24,1
31,17100652_2,312,25,2
31,17100652_2,313,26,3
93,17101375_2,933,70,1
93,17101375_2,934,71,2
123,17101720_2,1231,89,1
123,17101720_2,1232,90,2
124,17101720_2,1241,89,1
124,17101720_2,1242,90,2
130,17101852_2,1301,91,1
130,17101852_2,1302,92,2
129,17101852_2,1291,91,1
129,17101852_2,1292,92,2
148,17102166_2,1482,104,1
148,17102166_2,1484,106,2
163,17102449_2,1631,115,1
163,17102449_2,1632,116,2
171,17102577_2,1712,122,1
171,17102577_2,1714,124,2
202,17103114_2,2021,149,1
202,17103114_2,2022,150,2
254,17104255_2,2542,190,1
254,17104255_2,2543,191,2
254,17104255_2,2544,192,3
289,17104801_2,2891,215,1
289,17104801_2,2892,216,2
294,17104948_2,2941,220,1
294,17104948_2,2942,221,2
315,17105256_2,3152,232,1
315,17105256_2,3153,233,2
315,17105256_2,3154,234,3
314,17105256_2,3142,232,1
314,17105256_2,3143,233,2
314,17105256_2,3144,234,3
324,17105262_2,3241,237,1
324,17105262_2,3242,238,2
362,17105689_2,3621,264,1
362,17105689_2,3622,265,2
379,17105948_2,3791,279,1
379,17105948_2,3792,280,2
397,17106183_2,3971,287,1
397,17106183_2,3972,288,2
400,17106248_2,4001,290,1
400,17106248_2,4002,291,2
404,17106344_2,4043,294,1
404,17106344_2,4044,295,2
415,17106442_2,4152,302,1
415,17106442_2,4153,303,4
415,17106442_2,4154,304,5
415,17106442_2,4155,305,2
415,17106442_2,4156,306,3
416,17106442_2,4162,302,1
416,17106442_2,4165,305,2
416,17106442_2,4166,306,3
439,17106854_2,4391,318,1
439,17106854_2,4393,320,2
439,17106854_2,4394,321,3
440,17106854_2,4401,318,1
440,17106854_2,4403,320,2
440,17106854_2,4404,321,3
471,17107376_2,4711,346,1
471,17107376_2,4712,347,2
474,17107409_2,4741,348,1
474,17107409_2,4742,349,2
474,17107409_2,4743,350,3
474,17107409_2,4744,351,4
499,17107836_2,4991,365,1
499,17107836_2,4992,366,2
531,17108422_2,5311,383,1
531,17108422_2,5312,384,2
550,17108536_2,5502,396,1
550,17108536_2,5503,397,2
578,17109093_2,5781,411,1
578,17109093_2,5782,412,2
591,17109527_2,5911,421,1
591,17109527_2,5912,422,2
614,17109776_2,6141,438,1
614,17109776_2,6142,439,2
619,17109802_2,6191,440,1
619,17109802_2,6192,441,2
658,17110378_2,6582,465,1
658,17110378_2,6584,467,2
663,17110481_2,6631,471,1
663,17110481_2,6632,472,2
691,17111317_2,6911,494,1
691,17111317_2,6912,495,2
729,17111909_2,7292,521,2
729,17111909_2,7293,522,3
725,17111909_2,7251,520,1
725,17111909_2,7254,523,4
739,17111922_2,7391,524,1
739,17111922_2,7394,527,2
827,17113269_2,8272,587,1
827,17113269_2,8273,588,2
827,17113269_2,8274,589,3
837,17113433_2,8371,594,1
837,17113433_2,8372,595,2
841,17113495_2,8411,598,1
841,17113495_2,8412,599,2
1034,17116107_2,10341,739,1
1034,17116107_2,10342,740,2
1054,17116364_2,10541,753,1
1054,17116364_2,10544,756,2
1072,17116938_2,10722,769,1
1072,17116938_2,10723,770,2
1084,17117109_2,10841,778,1
1084,17117109_2,10842,779,2
1113,17117535_2,11131,795,1
1113,17117535_2,11132,796,2
1113,17117535_2,11133,797,3
1128,17117715_2,11282,808,1
1128,17117715_2,11283,809,2
1132,17117746_2,11321,810,1
1132,17117746_2,11322,811,2
1165,17118030_2,11653,830,1
1165,17118030_2,11654,831,2
1176,17118150_2,11761,835,1
1176,17118150_2,11762,836,2
1214,17119143_2,12141,858,1
1214,17119143_2,12142,859,2
1224,17119220_2,12241,864,1
1224,17119220_2,12243,866,2
1274,17120025_2,12741,897,1
1274,17120025_2,12742,898,2
1281,17120251_2,12811,903,1
1281,17120251_2,12813,905,2
1288,17120475_2,12881,910,1
1288,17120475_2,12882,911,2
1304,17120605_2,13041,922,1
1304,17120605_2,13042,923,2
1313,17120932_2,13132,929,1
1313,17120932_2,13133,930,2
1312,17120932_2,13122,929,1
1312,17120932_2,13123,930,2
1380,17122024_2,13802,976,1
1380,17122024_2,13805,979,2
1391,17122271_2,13911,984,1
1391,17122271_2,13912,985,2
1404,17122516_2,14041,994,1
1404,17122516_2,14043,996,2
1404,17122516_2,14044,997,3
1405,17122516_2,14051,994,1
1405,17122516_2,14053,996,2
1405,17122516_2,14054,997,3
1466,17123385_2,14661,1032,1
1466,17123385_2,14662,1033,2
1495,17123783_2,14951,1049,1
1495,17123783_2,14952,1050,2
1501,17123916_2,15011,1053,1
1501,17123916_2,15012,1054,2
1513,17124053_2,15131,1060,1
1513,17124053_2,15133,1062,2
1521,17124093_2,15211,1066,1
1521,17124093_2,15213,1068,2
1563,17124746_2,15631,1099,1
1563,17124746_2,15633,1101,2
1563,17124746_2,15634,1102,3
1571,17124854_2,15711,1104,1
1571,17124854_2,15712,1105,2
1571,17124854_2,15713,1106,3
1571,17124854_2,15714,1107,4
1598,17125271_2,15981,1125,1
1598,17125271_2,15983,1126,2
1598,17125271_2,15984,1127,3
1671,17125955_2,16713,1168,4
1671,17125955_2,16715,1170,1
1666,17125955_2,16661,1166,2
1666,17125955_2,16662,1167,3
1666,17125955_2,16665,1170,1
1709,17126660_2,17092,1198,1
1709,17126660_2,17094,1200,2
1739,17127297_2,17391,1223,1
1739,17127297_2,17392,1224,2
1743,17127432_2,17431,1227,1
1743,17127432_2,17432,1228,2
1763,17127637_2,17631,1241,1
1763,17127637_2,17633,1243,2
1838,17128676_2,18381,1291,1
1838,17128676_2,18382,1292,2
1863,17128925_2,18631,1305,1
1863,17128925_2,18634,1306,2
1902,17129346_2,19021,1334,1
1902,17129346_2,19022,1335,2
1945,17130048_2,19451,1367,1
1945,17130048_2,19452,1368,2
1963,17130258_2,19632,1379,1
1963,17130258_2,19634,1381,2
1968,17130291_2,19682,1385,1
1968,17130291_2,19683,1386,2
1967,17130291_2,19672,1385,1
1967,17130291_2,19673,1386,2
1967,17130291_2,19674,1387,3
1982,17130451_2,19821,1391,1
1982,17130451_2,19822,1392,2
1996,17130648_2,19961,1403,1
1996,17130648_2,19962,1404,2
1996,17130648_2,19963,1405,3
2007,17130743_2,20072,1411,1
2007,17130743_2,20073,1412,2
2094,17132609_2,20941,1476,1
2094,17132609_2,20944,1479,2
2096,17132609_2,20961,1476,1
2096,17132609_2,20964,1479,2
2123,17132843_2,21233,1493,1
2123,17132843_2,21234,1494,2
2141,17133098_2,21411,1508,1
2141,17133098_2,21413,1510,2
2154,17133307_2,21542,1517,1
2154,17133307_2,21543,1518,2
2166,17133470_2,21661,1525,1
2166,17133470_2,21662,1526,2
2179,17133910_2,21791,1536,1
2179,17133910_2,21792,1537,2
2179,17133910_2,21793,1538,3
2179,17133910_2,21794,1539,4
2240,17135145_2,22402,1587,1
2240,17135145_2,22403,1588,2
2240,17135145_2,22404,1589,3
2239,17135145_2,22392,1587,1
2239,17135145_2,22393,1588,2
2239,17135145_2,22394,1589,3
2264,17135871_2,22642,1603,1
2264,17135871_2,22643,1604,2
2270,17135959_2,22702,1609,1
2270,17135959_2,22704,1610,2
2274,17136017_2,22741,1611,1
2274,17136017_2,22742,1612,2
2295,17136251_2,22951,1623,1
2295,17136251_2,22952,1624,2
2296,17136251_2,22961,1623,1
2296,17136251_2,22962,1624,2
2307,17136735_2,23071,1628,1
2307,17136735_2,23072,1629,2
2317,17136995_2,23171,1635,1
2317,17136995_2,23172,1636,2
2317,17136995_2,23173,1637,3
2327,17137072_2,23271,1643,1
2327,17137072_2,23275,1647,2
2380,17137687_2,23801,1686,1
2380,17137687_2,23802,1687,2
2431,17138632_2,24312,1720,1
2431,17138632_2,24314,1722,2
2435,17138644_2,24351,1723,1
2435,17138644_2,24353,1724,2
2435,17138644_2,24354,1725,3
2460,17139077_2,24601,1740,1
2460,17139077_2,24602,1741,2
2468,17139106_2,24681,1746,1
2468,17139106_2,24682,1747,2
2493,17139418_2,24931,1761,1
2493,17139418_2,24932,1762,2
2502,17139522_2,25021,1767,1
2502,17139522_2,25022,1768,2
2528,17139992_2,25282,1788,1
2528,17139992_2,25283,1789,2
2527,17139992_2,25271,1787,3
2527,17139992_2,25272,1788,1
2527,17139992_2,25273,1789,2
2595,17141740_2,25951,1835,1
2595,17141740_2,25952,1836,2
2620,17141957_2,26202,1850,1
2620,17141957_2,26203,1851,2
2620,17141957_2,26204,1852,3
2641,17142290_2,26411,1864,1
2641,17142290_2,26412,1865,2
2644,17142397_2,26441,1866,1
2644,17142397_2,26443,1868,2
2644,17142397_2,26444,1869,3
2687,17142871_2,26871,1888,1
2687,17142871_2,26873,1890,2
2687,17142871_2,26874,1891,3
2687,17142871_2,26875,1892,4
2686,17142871_2,26861,1888,1
2686,17142871_2,26863,1890,2
2686,17142871_2,26864,1891,3
2686,17142871_2,26865,1892,4
2739,17143729_2,27391,1931,1
2739,17143729_2,27392,1932,2
2739,17143729_2,27393,1933,3
2739,17143729_2,27394,1934,4
2751,17143846_2,27511,1941,1
2751,17143846_2,27513,1943,2
2751,17143846_2,27514,1944,3
2752,17143846_2,27521,1941,1
2752,17143846_2,27523,1943,2
2752,17143846_2,27524,1944,3
2763,17143896_2,27631,1947,1
2763,17143896_2,27632,1948,2
2785,17144210_2,27851,1959,1
2785,17144210_2,27852,1960,2
2791,17144348_2,27911,1968,1
2791,17144348_2,27912,1969,2
2855,17145966_2,28551,2016,1
2855,17145966_2,28552,2017,2
2864,17146110_2,28641,2021,1
2864,17146110_2,28643,2023,2
2864,17146110_2,28644,2024,3
2880,17146597_2,28801,2032,1
2880,17146597_2,28802,2033,2
2885,17146764_2,28851,2035,1
2885,17146764_2,28853,2037,2
2885,17146764_2,28854,2038,3
2917,17147056_2,29171,2055,1
2917,17147056_2,29172,2056,2
2991,17148416_2,29911,2111,1
2991,17148416_2,29912,2112,2
2991,17148416_2,29913,2113,3
3024,17149083_2,30242,2138,1
3024,17149083_2,30243,2139,2
3082,17150062_2,30821,2181,1
3082,17150062_2,30822,2182,2
3083,17150062_2,30831,2181,1
3083,17150062_2,30832,2182,2
3131,17151020_2,31312,2221,1
3131,17151020_2,31313,2222,2
3135,17151147_2,31353,2226,1
3135,17151147_2,31354,2227,2
3149,17151285_2,31491,2237,1
3149,17151285_2,31492,2238,2
3242,17152464_2,32421,2300,1
3242,17152464_2,32422,2301,2
3267,17152989_2,32672,2316,1
3267,17152989_2,32673,2317,2
3292,17153367_2,32922,2338,1
3292,17153367_2,32923,2339,2
3317,17153702_2,33171,2359,1
3317,17153702_2,33172,2360,2
3326,17154129_2,33261,2364,1
3326,17154129_2,33262,2365,2
3351,191000396_2,33512,2384,1
3351,191000396_2,33513,2385,2
3352,191000396_2,33522,2384,1
3352,191000396_2,33523,2385,2
3411,191001337_2,34111,2429,1
3411,191001337_2,34112,2430,2
3413,191001429_2,34131,2433,1
3413,191001429_2,34133,2434,2
3413,191001429_2,34134,2435,3
3463,191002330_2,34633,2470,1
3463,191002330_2,34634,2471,2
3462,191002330_2,34623,2470,1
3462,191002330_2,34624,2471,2
3518,191003274_2,35181,2506,1
3518,191003274_2,35182,2507,2
3541,191003855_2,35411,2523,1
3541,191003855_2,35414,2525,2
3542,191003855_2,35421,2523,1
3542,191003855_2,35424,2525,2
3563,191004013_2,35632,2538,1
3563,191004013_2,35634,2540,2
3572,191004095_2,35721,2547,1
3572,191004095_2,35722,2548,2
3632,191005133_2,36322,2588,1
3632,191005133_2,36323,2589,2
3661,191005626_2,36611,2602,1
3661,191005626_2,36613,2604,2
3749,191006841_2,37491,2667,1
3749,191006841_2,37493,2669,2
3779,191007398_2,37792,2688,1
3779,191007398_2,37794,2689,2
3885,191009462_2,38851,2775,1
3885,191009462_2,38853,2777,2
3934,191010405_2,39342,2810,1
3934,191010405_2,39343,2811,2
4014,191011832_2,40141,2870,1
4014,191011832_2,40142,2871,2
4020,191011870_2,40201,2873,1
4020,191011870_2,40202,2874,2
4021,191011870_2,40211,2873,1
4021,191011870_2,40212,2874,2
4039,191012230_2,40391,2886,1
4039,191012230_2,40392,2887,2
4044,191012279_2,40441,2889,1
4044,191012279_2,40442,2890,2
4082,191013345_2,40822,2926,1
4082,191013345_2,40823,2927,2
4085,191013356_2,40851,2928,1
4085,191013356_2,40852,2929,2
4124,191014028_2,41241,2956,1
4124,191014028_2,41242,2957,2
4124,191014028_2,41243,2958,3
4146,191014836_2,41463,2977,1
4146,191014836_2,41464,2978,2
4155,191014981_2,41551,2983,1
4155,191014981_2,41552,2984,2
4157,191014981_2,41571,2983,1
4157,191014981_2,41572,2984,2
4220,191016170_2,42201,3025,1
4220,191016170_2,42202,3026,2
4231,191016275_2,42311,3032,1
4231,191016275_2,42312,3033,2
4238,191016491_2,42381,3037,1
4238,191016491_2,42384,3039,2
4308,191017994_2,43081,3092,1
4308,191017994_2,43083,3094,2
4308,191017994_2,43084,3095,3
4382,191019214_2,43821,3151,1
4382,191019214_2,43825,3154,2
4389,191019405_2,43891,3156,1
4389,191019405_2,43892,3157,2
4420,191019847_2,44201,3175,1
4420,191019847_2,44202,3176,2
4420,191019847_2,44203,3177,3
4428,191020003_2,44281,3180,1
4428,191020003_2,44282,3181,2
4440,191020136_2,44401,3188,1
4440,191020136_2,44402,3189,2
4516,191021299_2,45162,3242,1
4516,191021299_2,45163,3243,2
4516,191021299_2,45164,3244,3
4515,191021299_2,45152,3242,1
4515,191021299_2,45153,3243,2
4515,191021299_2,45154,3244,3
4566,191022076_2,45661,3285,1
4566,191022076_2,45662,3286,2
4614,191022879_2,46141,3319,1
4614,191022879_2,46143,3321,2
4625,191023056_2,46251,3326,1
4625,191023056_2,46252,3327,2
4635,191023336_2,46351,3338,1
4635,191023336_2,46352,3339,2
4636,191023336_2,46361,3338,1
4636,191023336_2,46362,3339,2
4672,191024245_2,46722,3362,1
4672,191024245_2,46723,3363,2
4672,191024245_2,46724,3364,3
4694,191024553_2,46942,3375,1
4694,191024553_2,46944,3377,2
4704,191024608_2,47043,3383,1
4704,191024608_2,47044,3384,2
4725,191024929_2,47251,3398,1
4725,191024929_2,47252,3399,2
4770,191025657_2,47701,3428,1
4770,191025657_2,47702,3429,2
4769,191025657_2,47691,3428,1
4769,191025657_2,47692,3429,2
4801,191026369_2,48011,3450,1
4801,191026369_2,48012,3451,2
4814,191026689_2,48141,3459,1
4814,191026689_2,48143,3461,2
4814,191026689_2,48144,3462,3
4836,191026972_2,48361,3474,1
4836,191026972_2,48362,3475,2
4911,191028706_2,49111,3537,1
4911,191028706_2,49112,3538,2
4975,191029584_2,49752,3584,1
4975,191029584_2,49754,3585,2
4984,191029740_2,49841,3590,1
4984,191029740_2,49843,3592,2
5013,191030489_2,50131,3615,1
5013,191030489_2,50132,3616,2
5123,191032679_2,51231,3705,1
5123,191032679_2,51232,3706,2
5172,191033540_2,51721,3739,1
5172,191033540_2,51722,3740,2
5175,191033547_2,51751,3741,1
5175,191033547_2,51752,3742,2
5205,191034124_2,52052,3762,1
5205,191034124_2,52053,3763,2
5270,191035818_2,52702,3814,1
5270,191035818_2,52705,3817,2
5411,191038089_2,54111,3910,1
5411,191038089_2,54112,3911,2
5424,191038329_2,54241,3924,1
5424,191038329_2,54242,3925,2
5471,191039105_2,54711,3957,1
5471,191039105_2,54713,3959,3
5473,191039105_2,54732,3958,2
5473,191039105_2,54734,3960,4
5541,191040688_2,55411,4010,1
5541,191040688_2,55412,4011,2
5578,191041655_2,55781,4032,1
5578,191041655_2,55782,4033,2
5578,191041655_2,55783,4034,3
5588,191041731_2,55881,4038,1
5588,191041731_2,55882,4039,2
5588,191041731_2,55883,4040,3
5616,191042225_2,56161,4062,1
5616,191042225_2,56162,4063,2
5668,191043773_2,56681,4108,1
5668,191043773_2,56683,4110,2
5758,191046859_2,57581,4193,1
5758,191046859_2,57582,4194,2
5777,191047110_2,57771,4210,1
5777,191047110_2,57772,4211,2
5782,191047119_2,57821,4212,1
5782,191047119_2,57822,4213,2
5790,191047331_2,57901,4219,1
5790,191047331_2,57902,4220,2
5827,191047667_2,58272,4247,2
5827,191047667_2,58273,4248,3
5825,191047667_2,58251,4246,1
5825,191047667_2,58255,4250,4
5875,191048274_2,58751,4287,1
5875,191048274_2,58752,4288,2
5908,191048799_2,59083,4308,1
5908,191048799_2,59084,4309,2
5905,191048799_2,59052,4307,3
5905,191048799_2,59053,4308,1
5905,191048799_2,59054,4309,2
5918,191048987_2,59181,4317,1
5918,191048987_2,59184,4320,2
5918,191048987_2,59185,4321,3
5929,191049035_2,59291,4325,1
5929,191049035_2,59294,4328,2
5930,191049035_2,59301,4325,1
5930,191049035_2,59302,4326,3
5930,191049035_2,59303,4327,4
5930,191049035_2,59304,4328,2
5964,191049767_2,59641,4356,1
5964,191049767_2,59642,4357,2
6012,191050681_2,60121,4390,1
6012,191050681_2,60122,4391,2
6038,191051415_2,60381,4412,1
6038,191051415_2,60382,4413,2
6038,191051415_2,60384,4414,3
6044,191051443_2,60441,4416,1
6044,191051443_2,60442,4417,2
6063,191051634_2,60631,4430,1
6063,191051634_2,60633,4432,2
6070,191051715_2,60702,4436,1
6070,191051715_2,60703,4437,2
6071,191051715_2,60712,4436,1
6071,191051715_2,60713,4437,2
6110,191052418_2,61101,4459,1
6110,191052418_2,61102,4460,2
6120,191052596_2,61201,4467,1
6120,191052596_2,61203,4469,2
6120,191052596_2,61205,4471,3
6120,191052596_2,61206,4472,4
6120,191052596_2,61207,4473,5
6133,192000189_2,61331,4479,1
6133,192000189_2,61333,4481,2
6149,192000940_2,61491,4491,1
6149,192000940_2,61492,4492,2
6155,192001145_2,61551,4494,1
6155,192001145_2,61552,4495,2
6155,192001145_2,61554,4497,3
6169,192001451_2,61691,4503,1
6169,192001451_2,61692,4504,2
6193,192002142_2,61931,4524,1
6193,192002142_2,61933,4526,2
6193,192002142_2,61934,4527,3
6255,192003730_2,62552,4575,1
6255,192003730_2,62553,4576,2
6261,192003809_2,62611,4578,1
6261,192003809_2,62613,4579,2
6261,192003809_2,62614,4580,3
6298,192005902_2,62981,4611,1
6298,192005902_2,62982,4612,2
6298,192005902_2,62983,4613,3
6307,192005952_2,63071,4614,1
6307,192005952_2,63073,4616,2
6319,192006199_2,63192,4624,1
6319,192006199_2,63196,4625,2
6319,192006199_2,63197,4626,3
6319,192006199_2,63198,4627,4
6366,192008179_2,63661,4658,1
6366,192008179_2,63662,4659,2
6366,192008179_2,63663,4660,3
6390,192009817_2,63901,4677,1
6390,192009817_2,63902,4678,2
6406,192010415_2,64061,4689,1
6406,192010415_2,64062,4690,2
6480,192014845_2,64801,4743,1
6480,192014845_2,64802,4744,2
6513,192015308_2,65131,4763,1
6513,192015308_2,65134,4766,2
6547,192015848_2,65471,4787,1
6547,192015848_2,65472,4788,2
6545,192015848_2,65451,4787,1
6545,192015848_2,65452,4788,2
6583,192016872_2,65832,4814,1
6583,192016872_2,65835,4817,2
6616,192018425_2,66161,4839,1
6616,192018425_2,66163,4841,2
