,tlvorig,origin,topcl,toadtyp,tarorig,household_id,person_id,day,tour_type,tripsh1,tripsh2,tdadtyp,destination,tdpcl,tardest,tlvdest,parent_tour_id,subtrs,tour_id,tour_mode,tdtaz,tour_category,start,end,mandatory_status,tour_type_num,tour_type_id,loc_tour_id,PNUM,joint_tour,participant_num,outbound_stops,inbound_stops,stop_frequency
66,1108,9778,827205.0,Home,1273,17101223_2,1710122301_2,Thursday,escort,1,6,other,9130.0,951328.0,1273,1108,0,0,71,SHARED2FREE,,non_mandatory,18.0,18.0,non_mandatory,1,9,escort1,1,67.0,1,0,5,0out_5in
80,570,49061,400248.0,Home,660,17101240_2,1710124002_2,Thursday,othmaint,1,5,other,49903.0,472223.0,660,570,0,0,83,DRIVEALONEFREE,,non_mandatory,9.0,9.0,non_mandatory,1,28,othmaint1,2,81.0,2,0,4,0out_4in
86,464,20955,1017658.0,Home,1029,17101375_2,1710137502_2,Thursday,work,5,2,other,29310.0,1005177.0,1029,775,0,0,90,SHARED2FREE,,mandatory,7.0,7.0,mandatory,1,39,work1,2,87.0,2,4,1,4out_1in
96,475,13934,113301.0,Home,1260,17101504_2,1710150402_2,Thursday,social,7,1,other,20448.0,1169272.0,1260,990,0,0,101,SHARED2FREE,,non_mandatory,7.0,7.0,non_mandatory,1,36,social1,2,97.0,2,6,0,6out_0in
136,1058,28834,818795.0,Home,1311,17101949_2,1710194902_2,Thursday,shopping,7,1,other,18633.0,801925.0,1311,1200,0,0,143,SHARED2FREE,,non_mandatory,17.0,17.0,non_mandatory,1,33,shopping1,2,137.0,2,6,0,6out_0in
139,485,13106,917405.0,Home,1085,17102166_2,1710216601_2,Thursday,work,5,1,other,3893.0,56469.0,1085,840,0,0,146,WALK_LOC,,mandatory,8.0,8.0,mandatory,1,39,work1,1,140.0,1,4,0,4out_0in
159,541,44591,248979.0,Home,856,17102502_2,1710250201_2,Thursday,othdiscr,7,1,other,50021.0,373076.0,856,764,0,0,166,DRIVEALONEFREE,,non_mandatory,9.0,9.0,non_mandatory,1,25,othdiscr1,1,160.0,1,6,0,6out_0in
187,338,64560,745511.0,Home,1223,17102966_2,1710296601_2,Thursday,othdiscr,2,11,other,64636.0,1224212.0,1223,475,0,0,194,SHARED2FREE,,non_mandatory,5.0,5.0,non_mandatory,1,25,othdiscr1,1,188.0,1,1,10,1out_10in
235,633,19909,698772.0,Home,965,17104088_2,1710408801_2,Thursday,social,1,5,other,14650.0,57906.0,965,633,0,0,243,SHARED2FREE,,non_mandatory,10.0,10.0,non_mandatory,1,36,social1,1,236.0,1,0,4,0out_4in
543,642,11281,929350.0,Home,873,17108678_2,1710867801_2,Thursday,work,2,8,other,30139.0,147699.0,873,663,0,0,558,DRIVEALONEFREE,,mandatory,10.0,10.0,mandatory,2,40,work2,1,544.0,1,1,7,1out_7in
563,437,25633,1037512.0,Home,1113,17109109_2,1710910901_2,Thursday,othmaint,1,7,other,21820.0,1175535.0,1113,437,0,0,582,DRIVEALONEFREE,,non_mandatory,7.0,7.0,non_mandatory,1,28,othmaint1,1,564.0,1,0,6,0out_6in
678,565,24265,662127.0,Home,976,17111620_2,1711162001_2,Thursday,work,1,6,other,27526.0,1129689.0,976,565,0,0,699,SHARED2FREE,,mandatory,9.0,9.0,mandatory,1,39,work1,1,679.0,1,0,5,0out_5in
835,605,48643,315631.0,Home,1235,17113750_2,1711375001_2,Thursday,othmaint,5,1,other,51710.0,485484.0,1235,935,0,0,865,SHARED3FREE,,non_mandatory,10.0,10.0,non_mandatory,1,28,othmaint1,1,836.0,1,4,0,4out_0in
880,525,59411,1037804.0,Home,1130,17114513_2,1711451302_2,Thursday,work,5,2,other,1769.0,1013687.0,1130,660,0,0,911,DRIVEALONEFREE,,mandatory,8.0,8.0,mandatory,1,39,work1,2,881.0,2,4,1,4out_1in
1010,461,34339,130367.0,Home,1389,17116226_2,1711622601_2,Thursday,eatout,5,1,other,15992.0,937433.0,1389,1061,0,0,1048,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,6,eatout1,1,1011.0,1,4,0,4out_0in
1022,460,25298,825711.0,Home,1005,17116441_2,1711644101_2,Thursday,work,1,5,other,48694.0,263498.0,1005,460,0,0,1060,DRIVEALONEFREE,,mandatory,7.0,7.0,mandatory,1,39,work1,1,1023.0,1,0,4,0out_4in
1071,508,13177,640312.0,Home,925,17117505_2,1711750502_2,Thursday,work,6,2,other,7147.0,771477.0,925,742,0,0,1110,SHARED2FREE,,mandatory,8.0,8.0,mandatory,1,39,work1,2,1072.0,2,5,1,5out_1in
1147,470,25588,1179128.0,Home,1095,17118482_2,1711848201_2,Thursday,work,1,5,other,28336.0,1065366.0,1095,470,0,0,1193,WALK_LOC,,mandatory,7.0,7.0,mandatory,1,39,work1,1,1148.0,1,0,4,0out_4in
1158,520,12417,910881.0,Home,1030,17118766_2,1711876601_2,Thursday,work,5,2,other,30222.0,754768.0,1030,710,0,0,1204,DRIVEALONEFREE,,mandatory,8.0,8.0,mandatory,1,39,work1,1,1159.0,1,4,1,4out_1in
1181,412,33286,778636.0,Home,1018,17119235_2,1711923502_2,Thursday,work,1,10,other,51263.0,221907.0,1018,412,0,0,1228,DRIVEALONEFREE,,mandatory,6.0,6.0,mandatory,1,39,work1,2,1182.0,2,0,9,0out_9in
1476,517,49097,171588.0,Work,874,17124316_2,1712431602_2,Thursday,work,2,6,other,4722.0,688875.0,605,580,1537,0,1538,Other,,mandatory,8.0,8.0,mandatory,1,39,work1,2,1477.0,2,1,5,1out_5in
1477,237,14745,1029372.0,Home,588,17124342_2,1712434201_2,Thursday,work,10,1,other,6108.0,1243307.0,588,512,0,0,1539,SHARED3FREE,,mandatory,5.0,5.0,mandatory,1,39,work1,1,1478.0,1,9,0,9out_0in
1485,830,11753,1015753.0,Home,1015,17124360_2,1712436001_2,Thursday,shopping,5,2,other,3508.0,701481.0,1015,865,0,0,1546,SHARED2FREE,,joint,13.0,13.0,non_mandatory,1,33,shopping1,1,1488.0,1,4,1,4out_1in
1493,382,27345,615570.0,Home,1101,17124411_2,1712441101_2,Thursday,work,11,27,other,16879.0,850750.0,1101,579,0,0,1555,SHARED3FREE,,mandatory,6.0,6.0,mandatory,1,39,work1,1,1494.0,1,10,26,10out_26in
1526,420,13171,796313.0,Home,1178,17124943_2,1712494302_2,Thursday,work,1,5,other,11616.0,848860.0,1178,420,0,0,1589,WALK_LOC,,mandatory,7.0,7.0,mandatory,1,39,work1,2,1527.0,2,0,4,0out_4in
1547,635,37567,240297.0,Home,950,17125333_2,1712533301_2,Thursday,othdiscr,1,6,other,38191.0,494540.0,950,635,0,0,1611,SHARED3FREE,,joint,10.0,10.0,non_mandatory,1,25,othdiscr1,1,1551.0,1,0,5,0out_5in
1853,480,28239,1203985.0,Home,1173,17129846_2,1712984601_2,Thursday,work,1,6,Work,7118.0,689012.0,1173,480,0,0,1932,SHARED2FREE,,mandatory,8.0,8.0,mandatory,1,39,work1,1,1854.0,1,0,5,0out_5in
1872,515,5148,140938.0,Home,1215,17130098_2,1713009801_2,Thursday,work,1,8,other,21307.0,909912.0,1215,515,0,0,1953,DRIVEALONEFREE,,mandatory,8.0,8.0,mandatory,1,39,work1,1,1873.0,1,0,7,0out_7in
1880,551,16343,105947.0,Home,1099,17130234_2,1713023402_2,Thursday,school,5,2,other,30838.0,1088262.0,1099,766,0,0,1961,DRIVEALONEFREE,,mandatory,9.0,9.0,mandatory,1,31,school1,2,1881.0,2,4,1,4out_1in
2031,448,27159,870095.0,Home,1156,17132838_2,1713283801_2,Thursday,work,2,6,other,33095.0,898608.0,1156,470,0,0,2120,DRIVEALONEFREE,,mandatory,7.0,7.0,mandatory,1,39,work1,1,2032.0,1,1,5,1out_5in
2097,417,1466,1029721.0,Home,1063,17133937_2,1713393701_2,Thursday,work,1,6,other,7622.0,1160940.0,1063,417,0,0,2188,WALK_LOC,,mandatory,6.0,6.0,mandatory,1,39,work1,1,2098.0,1,0,5,0out_5in
2242,630,52487,190293.0,Home,1200,17137194_2,1713719401_2,Thursday,eatout,5,1,other,20626.0,1105467.0,1200,990,0,0,2337,SHARED3FREE,,joint,10.0,10.0,non_mandatory,1,6,eatout1,1,2247.0,1,4,0,4out_0in
2303,570,12126,1012249.0,Home,780,17138061_2,1713806101_2,Thursday,shopping,1,6,other,10320.0,634451.0,780,570,0,0,2400,DRIVEALONEFREE,,non_mandatory,9.0,9.0,non_mandatory,1,33,shopping1,1,2304.0,1,0,5,0out_5in
2344,539,7704,715310.0,Home,1168,17138752_2,1713875201_2,Thursday,eatout,4,5,other,19344.0,602845.0,1168,645,0,0,2441,DRIVEALONEFREE,,non_mandatory,8.0,8.0,non_mandatory,1,6,eatout1,1,2345.0,1,3,4,3out_4in
2364,823,37178,508920.0,Home,1019,17139080_2,1713908001_2,Thursday,social,5,2,other,38164.0,430193.0,1019,924,0,0,2462,SHARED2FREE,,joint,13.0,13.0,non_mandatory,1,36,social1,1,2366.0,1,4,1,4out_1in
2383,620,57657,1003551.0,Home,1189,17139320_2,1713932002_2,Thursday,othmaint,6,2,other,65109.0,981189.0,1189,972,0,0,2484,DRIVEALONEFREE,,non_mandatory,10.0,10.0,non_mandatory,1,28,othmaint1,2,2384.0,2,5,1,5out_1in
2447,620,1648,158536.0,Home,1105,17140552_2,1714055201_2,Thursday,work,5,1,other,9526.0,1096447.0,1105,875,0,0,2551,DRIVEALONEFREE,,mandatory,10.0,10.0,mandatory,1,39,work1,1,2448.0,1,4,0,4out_0in
2480,765,19833,790161.0,Home,1275,17141551_2,1714155101_2,Thursday,work,1,5,Work,33553.0,1139620.0,1275,765,0,0,2589,DRIVEALONEFREE,,mandatory,12.0,12.0,mandatory,2,40,work2,1,2481.0,1,0,4,0out_4in
2553,937,35782,1184888.0,Home,1207,17142510_2,1714251001_2,Thursday,othdiscr,1,6,other,5761.0,141279.0,1207,937,0,0,2665,SHARED3FREE,,joint,15.0,15.0,non_mandatory,1,25,othdiscr1,1,2558.0,1,0,5,0out_5in
2598,375,19992,1046113.0,Home,1040,17143154_2,1714315401_2,Thursday,work,5,5,other,13681.0,1182181.0,1040,503,0,0,2711,SHARED3FREE,,mandatory,6.0,6.0,mandatory,1,39,work1,1,2599.0,1,4,4,4out_4in
2656,84,20210,922466.0,Home,807,17144080_2,1714408001_2,Thursday,work,8,21,other,22575.0,1016692.0,807,287,0,0,2769,SHARED2FREE,,mandatory,5.0,5.0,mandatory,1,39,work1,1,2657.0,1,7,20,7out_20in
2764,500,26540,872470.0,Home,1225,17146662_2,1714666201_2,Thursday,work,6,3,other,14440.0,869032.0,1225,755,0,0,2883,DRIVEALONEFREE,,mandatory,8.0,8.0,mandatory,1,39,work1,1,2765.0,1,5,2,5out_2in
2832,450,23087,127725.0,Home,1205,17147694_2,1714769401_2,Thursday,work,2,8,other,29840.0,624723.0,1205,485,0,0,2952,SHARED2FREE,,mandatory,7.0,7.0,mandatory,1,39,work1,1,2833.0,1,1,7,1out_7in
2890,704,19828,40762.0,Home,970,17148886_2,1714888601_2,Thursday,othmaint,1,7,other,18820.0,702269.0,970,704,0,0,3017,SHARED2FREE,,non_mandatory,11.0,11.0,non_mandatory,1,28,othmaint1,1,2891.0,1,0,6,0out_6in
2912,560,33320,1101785.0,Home,1098,17149451_2,1714945101_2,Thursday,work,5,1,other,26814.0,1092118.0,1098,783,0,0,3039,Other,,mandatory,9.0,9.0,mandatory,1,39,work1,1,2913.0,1,4,0,4out_0in
2917,594,34099,922091.0,Home,1120,17149509_2,1714950902_2,Thursday,work,5,1,other,3390.0,777127.0,1120,815,0,0,3045,BIKE,,mandatory,9.0,9.0,mandatory,1,39,work1,2,2918.0,2,4,0,4out_0in
2987,749,3871,718379.0,Home,1196,17150926_2,1715092602_2,Thursday,eatout,2,5,other,65207.0,57866.0,1196,880,0,0,3117,BIKE,,non_mandatory,12.0,12.0,non_mandatory,1,6,eatout1,2,2988.0,2,1,4,1out_4in
2992,500,26430,648321.0,Home,985,17150985_2,1715098502_2,Thursday,work,1,5,Work,28722.0,629245.0,985,500,0,0,3122,DRIVEALONEFREE,,mandatory,8.0,8.0,mandatory,1,39,work1,2,2993.0,2,0,4,0out_4in
3152,468,33301,809723.0,Home,1271,17153211_2,1715321101_2,Thursday,work,4,10,other,15956.0,607591.0,1271,553,0,0,3286,SHARED3FREE,,mandatory,7.0,7.0,mandatory,1,39,work1,1,3153.0,1,3,9,3out_9in
3172,388,46045,426499.0,Home,1221,17153506_2,1715350601_2,Thursday,work,5,3,other,43661.0,418607.0,1221,770,0,0,3306,SHARED2FREE,,mandatory,6.0,6.0,mandatory,1,39,work1,1,3173.0,1,4,2,4out_2in
3269,589,10824,584108.0,Home,1208,191001070_2,19100107001_2,Thursday,work,1,5,other,33296.0,738194.0,1208,589,0,0,3407,DRIVEALONEFREE,,mandatory,9.0,9.0,mandatory,1,39,work1,1,3270.0,1,0,4,0out_4in
3303,532,37809,409665.0,Home,946,191001849_2,19100184902_2,Thursday,othdiscr,2,5,other,40174.0,436004.0,946,565,0,0,3443,DRIVEALONEFREE,,non_mandatory,8.0,8.0,non_mandatory,1,25,othdiscr1,2,3304.0,2,1,4,1out_4in
3316,515,10540,730851.0,Home,1266,191002087_2,19100208701_2,Thursday,work,1,5,Work,10538.0,695867.0,1266,515,0,0,3457,SHARED3FREE,,mandatory,8.0,8.0,mandatory,1,39,work1,1,3317.0,1,0,4,0out_4in
3379,422,33265,663142.0,Home,1200,191003306_2,19100330601_2,Thursday,eatout,3,7,other,31218.0,686740.0,1200,539,0,0,3523,WALK_LR,,non_mandatory,7.0,7.0,non_mandatory,1,6,eatout1,1,3380.0,1,2,6,2out_6in
3380,449,33265,663142.0,Home,1025,191003306_2,19100330602_2,Thursday,social,5,1,other,4102.0,101162.0,1025,821,0,0,3524,WALK_LR,,non_mandatory,7.0,7.0,non_mandatory,1,36,social1,2,3381.0,2,4,0,4out_0in
3421,461,14631,58829.0,Home,1039,191004031_2,19100403102_2,Thursday,work,5,1,other,28030.0,916364.0,1039,842,0,0,3566,DRIVEALONEFREE,,mandatory,7.0,7.0,mandatory,1,39,work1,2,3422.0,2,4,0,4out_0in
3444,477,25073,1039721.0,Home,1070,191004408_2,19100440802_2,Thursday,work,3,5,other,60328.0,153409.0,1070,489,0,0,3590,SHARED2FREE,,mandatory,7.0,7.0,mandatory,1,39,work1,2,3445.0,2,2,4,2out_4in
3449,555,20440,729044.0,Home,920,191004450_2,19100445001_2,Thursday,social,1,5,other,30593.0,637346.0,920,555,0,0,3594,DRIVEALONEFREE,,non_mandatory,9.0,9.0,non_mandatory,1,36,social1,1,3450.0,1,0,4,0out_4in
3530,430,63416,1229927.0,Home,1087,191005819_2,19100581902_2,Thursday,work,2,6,other,63330.0,416.0,1087,448,0,0,3680,SHARED3FREE,,mandatory,7.0,7.0,mandatory,1,39,work1,2,3531.0,2,1,5,1out_5in
3532,430,63416,1229927.0,Home,1087,191005819_2,19100581904_2,Thursday,school,1,5,other,63823.0,908346.0,1087,430,0,0,3682,SHARED3FREE,,mandatory,7.0,7.0,mandatory,1,31,school1,4,3533.0,4,0,4,0out_4in
3590,635,16525,1064454.0,Home,1156,191006804_2,19100680401_2,Thursday,work,2,6,other,26736.0,843937.0,1156,653,0,0,3743,WALK_LOC,,mandatory,10.0,10.0,mandatory,1,39,work1,1,3591.0,1,1,5,1out_5in
3619,574,25053,766072.0,Home,1186,191007249_2,19100724902_2,Thursday,work,1,6,Work,25881.0,31161.0,1186,574,0,0,3772,DRIVEALONEFREE,,mandatory,9.0,9.0,mandatory,1,39,work1,2,3620.0,2,0,5,0out_5in
3623,620,11893,991130.0,Home,875,191007349_2,19100734902_2,Thursday,work,1,5,other,5858.0,1191475.0,875,620,0,0,3776,DRIVEALONEFREE,,mandatory,10.0,10.0,mandatory,1,39,work1,2,3624.0,2,0,4,0out_4in
3697,504,21321,722613.0,Home,1269,191008767_2,19100876702_2,Thursday,work,1,5,Work,7217.0,623929.0,1269,504,0,0,3853,WALK_LOC,,mandatory,8.0,8.0,mandatory,1,39,work1,2,3698.0,2,0,4,0out_4in
