,tlvorig,origin,topcl,toadtyp,tarorig,household_id,person_id,day,tour_type,tripsh1,tripsh2,tdadtyp,destination,tdpcl,tardest,tlvdest,parent_tour_id,subtrs,tour_id,tour_mode,tdtaz,tour_category,start,end,mandatory_status,tour_type_num,tour_type_id,loc_tour_id
4149,580,21671,,Home,990,191014907_2,19101490701_2,Thursday,Work,1,1,Work,1.0,,615,955,0,1,4149,WALK_LOC,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
4170,491,27430,686990.0,Home,1027,191015195_2,19101519501_2,Thursday,Work,1,3,Work,12658.0,730508.0,515,908,0,1,4170,BIKE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
4173,407,27430,686990.0,Home,1118,191015195_2,19101519502_2,Thursday,Work,4,2,Work,10056.0,921484.0,517,1073,0,1,4173,WALK_LOC,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
4178,419,12906,598511.0,Home,1135,191015335_2,19101533501_2,Thursday,Work,1,1,Work,34074.0,1077995.0,436,1118,0,1,4178,WALK,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
4248,434,7743,1124993.0,Home,1156,191016539_2,19101653901_2,Thursday,Work,1,1,Work,200.0,657253.0,462,1131,0,1,4248,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
4348,520,13171,663118.0,Home,1270,191018612_2,19101861201_2,Thursday,Work,1,2,Work,3186.0,125711.0,545,1120,0,1,4348,WALK,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
4367,445,12357,1079750.0,Home,1200,191018906_2,19101890602_2,Thursday,Work,1,2,Work,15421.0,767347.0,475,1125,0,1,4367,SHARED2FREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
4387,475,21437,1075351.0,Home,1125,191019405_2,19101940501_2,Thursday,Work,1,2,Work,10547.0,78878.0,515,1045,0,1,4387,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
4399,485,16189,743540.0,Home,1090,191019531_2,19101953101_2,Thursday,Work,1,2,Work,23191.0,686079.0,500,1040,0,1,4399,WALK,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
4403,513,2896,1073293.0,Home,1059,191019648_2,19101964801_2,Thursday,Work,1,1,Work,3186.0,31776.0,535,1030,0,1,4403,WALK,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
4425,475,26117,848193.0,Home,1096,191019998_2,19101999801_2,Thursday,Work,1,1,Work,11618.0,1032758.0,500,1074,0,1,4425,WALK_LR,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
4509,540,14449,1191455.0,Home,1155,191021287_2,19102128701_2,Thursday,Work,1,2,Work,32533.0,156379.0,550,1050,0,1,4509,WALK,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
4513,359,28140,850235.0,Home,1067,191021299_2,19102129901_2,Thursday,Work,1,2,Work,27260.0,633616.0,434,856,0,1,4513,DRIVEALONEFREE,,non_mandatory,5.0,5.0,non_mandatory,1,Work1,Work1
4532,585,4147,68907.0,Home,1250,191021506_2,19102150601_2,Thursday,Work,1,3,Work,11618.0,1032758.0,600,1050,0,2,4532,WALK,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
4543,380,25608,1171991.0,Home,1266,191021799_2,19102179901_2,Thursday,Work,1,3,Work,13681.0,1182181.0,425,1174,0,1,4543,WALK_LOC,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
4563,605,21465,828436.0,Home,1150,191022036_2,19102203602_2,Thursday,Work,1,1,Work,3838.0,1052966.0,630,1135,0,1,4563,WALK_LR,,non_mandatory,10.0,10.0,non_mandatory,1,Work1,Work1
4580,510,20463,1237895.0,Home,1060,191022178_2,19102217801_2,Thursday,Work,1,1,Work,11084.0,754779.0,530,1040,0,1,4580,BIKE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
4584,1375,20463,1237895.0,Home,1385,191022178_2,19102217801_2,Thursday,othdiscr,1,1,other,33593.0,826086.0,1380,1380,0,0,4584,WALK,,non_mandatory,22.0,22.0,non_mandatory,4,othdiscr4,othdiscr4
4663,420,26434,916893.0,Home,1055,191024233_2,19102423302_2,Thursday,Work,1,2,Work,22306.0,622509.0,465,990,0,1,4663,DRIVEALONEFREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
4666,442,18117,1060829.0,Home,1084,191024245_2,19102424501_2,Thursday,Work,1,2,Work,1997.0,777382.0,489,1022,0,1,4666,BIKE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
4709,411,1263,1008095.0,Home,1417,191024670_2,19102467001_2,Thursday,Work,1,2,Work,32547.0,916485.0,450,1063,0,1,4709,WALK_LOC,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
4730,805,59602,1121053.0,Home,1171,191025033_2,19102503302_2,Thursday,Work,1,1,Work,54985.0,946336.0,809,1163,0,1,4730,DRIVEALONEFREE,,non_mandatory,13.0,13.0,non_mandatory,1,Work1,Work1
4742,600,31232,924393.0,Home,1080,191025337_2,19102533701_2,Thursday,Work,1,1,Work,14942.0,62967.0,655,1020,0,1,4742,WALK_LOC,,non_mandatory,10.0,10.0,non_mandatory,1,Work1,Work1
4757,390,30402,1142644.0,Home,1055,191025494_2,19102549402_2,Thursday,Work,1,1,Work,15449.0,845759.0,418,1043,0,1,4757,WALK_LOC,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
4764,445,27163,593754.0,Home,1239,191025627_2,19102562701_2,Thursday,Work,1,3,Work,21190.0,935063.0,489,1091,0,1,4764,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
4924,510,3892,21241.0,Home,993,191028907_2,19102890702_2,Thursday,Work,1,3,Work,21642.0,36460.0,521,833,0,1,4924,WALK,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
4945,618,28578,616315.0,Home,1137,191029206_2,19102920602_2,Thursday,Work,1,1,Work,15983.0,621478.0,625,1125,0,1,4945,DRIVEALONEFREE,,non_mandatory,10.0,10.0,non_mandatory,1,Work1,Work1
4952,435,19304,14270.0,Home,1017,191029340_2,19102934001_2,Thursday,Work,2,3,Work,14260.0,754222.0,470,968,0,1,4952,SHARED2FREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
4955,476,18341,712886.0,Home,1107,191029358_2,19102935802_2,Thursday,Work,1,3,other,5162.0,1018707.0,498,1030,0,1,4955,SHARED2FREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
4965,416,25895,1039531.0,Home,975,191029548_2,19102954801_2,Thursday,Work,1,1,Work,25900.0,600792.0,427,966,0,1,4965,WALK,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
5000,558,4369,767945.0,Home,1205,191029997_2,19102999701_2,Thursday,Work,1,4,Work,18882.0,750652.0,592,892,0,1,5000,WALK_LOC,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
5010,575,15682,1147760.0,Home,1062,191030306_2,19103030601_2,Thursday,Work,1,1,Work,33878.0,786731.0,604,1034,0,1,5010,WALK,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
5035,317,55126,594876.0,Home,794,191030739_2,19103073902_2,Thursday,Work,1,1,Work,31905.0,37459.0,332,780,0,1,5035,DRIVEALONEFREE,,non_mandatory,5.0,5.0,non_mandatory,1,Work1,Work1
5045,480,33264,61148.0,Home,950,191031156_2,19103115601_2,Thursday,Work,2,3,Work,33879.0,1209609.0,630,825,0,1,5045,WALK_LR,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
5065,530,7720,1061692.0,Home,1090,191031428_2,19103142801_2,Thursday,Work,1,1,Work,26814.0,848260.0,577,1032,0,1,5065,Other,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
5069,443,20992,1198759.0,Home,1098,191031457_2,19103145702_2,Thursday,Work,1,3,Work,5157.0,1142750.0,492,790,0,1,5069,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
5075,468,12343,1057686.0,Home,1126,191031683_2,19103168301_2,Thursday,Work,1,1,Work,27050.0,131809.0,520,1080,0,1,5075,SHARED3FREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
5079,600,13167,727963.0,Home,1145,191031843_2,19103184301_2,Thursday,Work,1,1,Work,2901.0,751984.0,605,1140,0,2,5079,DRIVEALONEFREE,,non_mandatory,10.0,10.0,non_mandatory,1,Work1,Work1
5084,480,13383,1113102.0,Home,1020,191031932_2,19103193201_2,Thursday,Work,1,1,Work,12654.0,1113761.0,510,990,0,1,5084,BIKE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
5130,829,4160,638628.0,Home,1086,191032787_2,19103278701_2,Thursday,Work,2,1,Work,14948.0,913517.0,883,1077,0,1,5130,SHARED2FREE,,non_mandatory,13.0,13.0,non_mandatory,1,Work1,Work1
5143,565,29003,581643.0,Home,1148,191033128_2,19103312801_2,Thursday,Work,2,1,Work,31883.0,710051.0,595,1146,0,1,5143,SHARED3FREE,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
5181,522,7719,1183531.0,Home,1112,191033624_2,19103362401_2,Thursday,Work,1,2,Work,11622.0,669723.0,533,1089,0,1,5181,WALK,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
5186,400,11111,1230689.0,Home,995,191033642_2,19103364202_2,Thursday,Work,1,2,Work,24046.0,1069930.0,420,950,0,1,5186,SHARED3FREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
5209,500,33324,987392.0,Home,1055,191034432_2,19103443201_2,Thursday,Work,1,1,Work,3632.0,1117132.0,520,1035,0,1,5209,WALK,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
5303,553,25864,698998.0,Home,768,191036343_2,19103634301_2,Thursday,Work,4,1,Work,6197.0,739710.0,678,732,0,1,5303,WALK_LR,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
5336,524,18341,1156666.0,Home,1038,191036821_2,19103682101_2,Thursday,Work,1,1,Work,3367.0,1186860.0,534,1025,0,1,5336,DRIVEALONEFREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
5339,480,51667,392973.0,Home,1095,191036941_2,19103694101_2,Thursday,Work,1,1,Work,53581.0,523994.0,485,1085,0,1,5339,DRIVEALONEFREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
5408,498,15982,720920.0,Home,1168,191037918_2,19103791801_2,Thursday,Work,1,3,Work,12577.0,717974.0,515,1016,0,1,5408,SHARED3FREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
5413,604,20463,1242511.0,Home,1063,191038176_2,19103817601_2,Thursday,Work,1,1,Work,3367.0,1111163.0,616,1055,0,1,5413,BIKE,,non_mandatory,10.0,10.0,non_mandatory,1,Work1,Work1
5433,510,19112,121540.0,Home,1130,191038442_2,19103844201_2,Thursday,Work,1,1,Work,16737.0,1154393.0,525,1080,0,1,5433,WALK_LOC,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
5453,420,21193,1158432.0,Home,1065,191038621_2,19103862102_2,Thursday,Work,1,1,Work,17963.0,644290.0,475,1005,0,1,5453,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
5459,450,12384,1027995.0,Home,1290,191038841_2,19103884101_2,Thursday,Work,1,2,Work,3133.0,97114.0,485,1145,0,1,5459,DRIVEALONEFREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
5495,509,31750,593204.0,Home,1265,191039479_2,19103947901_2,Thursday,Work,1,3,Work,10547.0,39024.0,547,1095,0,1,5495,SHARED3FREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
5521,455,266,945203.0,Home,1050,191040194_2,19104019401_2,Thursday,Work,2,1,Work,8979.0,1204690.0,845,1025,0,1,5521,DRIVEALONEFREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
5535,330,19537,699472.0,Home,925,191040616_2,19104061601_2,Thursday,Work,1,1,Work,60687.0,795497.0,355,900,0,1,5535,DRIVEALONEFREE,,non_mandatory,5.0,5.0,non_mandatory,1,Work1,Work1
5554,360,27486,727649.0,Home,816,191041091_2,19104109102_2,Thursday,Work,1,1,Work,30988.0,973341.0,370,810,0,1,5554,BIKE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
5619,492,6906,84678.0,Home,1023,191042236_2,19104223601_2,Thursday,Work,3,1,Work,26814.0,19209.0,590,979,0,1,5619,SHARED3FREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
5672,385,51886,452946.0,Home,1110,191043809_2,19104380902_2,Thursday,Work,1,1,Work,47532.0,406614.0,420,1065,0,1,5672,DRIVEALONEFREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
5704,610,14176,690676.0,Home,1053,191045072_2,19104507201_2,Thursday,Work,1,1,Work,3193.0,829820.0,642,1044,0,1,5704,WALK_LOC,,non_mandatory,10.0,10.0,non_mandatory,1,Work1,Work1
5728,465,8261,1190639.0,Home,1085,191045658_2,19104565802_2,Thursday,Work,1,1,Work,23962.0,1106030.0,515,1040,0,1,5728,WALK_LR,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
5734,453,816,604630.0,Home,1058,191045774_2,19104577402_2,Thursday,Work,1,3,Work,21615.0,1031001.0,483,964,0,1,5734,SHARED2FREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
5833,465,5620,985313.0,Home,1115,191047687_2,19104768701_2,Thursday,Work,1,1,Work,15138.0,1144232.0,505,1080,0,1,5833,DRIVEALONEFREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
5858,486,21437,1026773.0,Home,811,191048073_2,19104807301_2,Thursday,Work,1,2,Work,31636.0,1252643.0,516,774,0,1,5858,DRIVEALONEFREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
5863,460,21436,85395.0,Home,1180,191048162_2,19104816201_2,Thursday,Work,1,2,Work,21191.0,1186445.0,505,1010,0,1,5863,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
5987,470,66160,868559.0,Home,1065,191050176_2,19105017602_2,Thursday,Work,1,1,Work,25310.0,635478.0,525,1020,0,1,5987,DRIVEALONEFREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
5999,555,19877,1062338.0,Home,1095,191050364_2,19105036401_2,Thursday,Work,1,1,Work,3190.0,698783.0,620,1050,0,1,5999,WALK_LR,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
6030,503,19983,80054.0,Home,1212,191051072_2,19105107201_2,Thursday,Work,1,5,Work,32533.0,156379.0,524,800,0,1,6030,DRIVEALONEFREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
6067,493,21935,849297.0,Home,1103,191051637_2,19105163701_2,Thursday,Work,1,1,Work,22438.0,744072.0,523,1063,0,1,6067,WALK_LOC,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
6086,617,15093,939610.0,Home,1034,191051996_2,19105199603_2,Thursday,Work,2,7,Work,44683.0,356421.0,682,791,0,1,6086,DRIVEALONEFREE,,non_mandatory,10.0,10.0,non_mandatory,1,Work1,Work1
6099,425,21808,802037.0,Home,1232,191052036_2,19105203602_2,Thursday,Work,1,2,Work,34646.0,124976.0,470,1083,0,1,6099,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
6140,434,20753,1204893.0,Home,1109,192000507_2,19200050702_2,Thursday,Work,2,1,Work,23962.0,1106030.0,478,1064,0,1,6140,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
6172,225,44052,198395.0,Home,740,192001494_2,19200149402_2,Thursday,Work,1,1,Work,48336.0,184399.0,235,720,0,1,6172,DRIVEALONEFREE,,non_mandatory,5.0,5.0,non_mandatory,1,Work1,Work1
6174,455,49769,556869.0,Home,156,192001609_2,19200160901_2,Thursday,Work,2,6,Work,11620.0,997166.0,546,1023,0,1,6174,WALK_COM,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
6227,435,52301,417598.0,Home,1065,192002765_2,19200276502_2,Thursday,Work,2,2,Work,51569.0,208947.0,480,1025,0,1,6227,SHARED2FREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
6361,995,52198,555073.0,Home,1020,192008060_2,19200806002_2,Thursday,othdiscr,1,1,other,54222.0,319563.0,1005,1010,0,0,6361,SHARED2FREE,,non_mandatory,16.0,16.0,non_mandatory,4,othdiscr4,othdiscr4
6387,489,36857,534813.0,Home,1041,192009667_2,19200966701_2,Thursday,Work,2,1,Work,49744.0,432579.0,542,975,0,1,6387,SHARED2FREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
6441,600,47892,542607.0,Home,1060,192012081_2,19201208101_2,Thursday,Work,1,2,Work,45964.0,575091.0,605,975,0,1,6441,SHARED2FREE,,non_mandatory,10.0,10.0,non_mandatory,1,Work1,Work1
6451,320,50032,307615.0,Home,1070,192012576_2,19201257602_2,Thursday,Work,1,1,Work,21190.0,935063.0,390,980,0,1,6451,WALK_COM,,non_mandatory,5.0,5.0,non_mandatory,1,Work1,Work1
6555,510,41370,576017.0,Home,1080,192016142_2,19201614201_2,Thursday,Work,1,1,Work,47416.0,562599.0,550,1050,0,1,6555,DRIVEALONEFREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
6575,360,63864,873007.0,Home,1095,192016419_2,19201641901_2,Thursday,Work,1,1,Work,22675.0,103924.0,390,1020,0,1,6575,DRIVEALONEFREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
6609,457,39124,161581.0,Home,1014,192018304_2,19201830401_2,Thursday,Work,1,1,Work,39495.0,553699.0,467,998,0,1,6609,DRIVEALONEFREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
