household_id,home_zone_id,income,hhsize,HHT,auto_ownership,num_workers
1,23432,225000,4,1,1,2
2,23432,-1,2,1,1,2
3,23432,17500,2,1,1,2
4,17451,87500,1,1,1,1
5,23509,42500,1,1,1,1
6,28830,30000,1,1,0,1
7,3871,30000,1,1,1,1
8,23509,-1,1,1,1,1
9,14828,42500,2,1,2,1
10,21307,125000,2,1,1,2
11,8493,125000,2,1,1,2
12,8493,225000,2,1,1,2
13,61313,42500,1,1,2,1
14,744,225000,2,1,1,2
15,33091,87500,1,1,0,1
16,33091,225000,2,1,0,2
17,4866,30000,1,1,1,1
18,577,42500,2,1,1,2
19,15980,125000,1,1,1,0
20,22648,225000,4,1,2,2
21,7392,87500,1,1,1,1
22,22426,175000,2,1,2,2
23,27201,62500,3,1,0,1
24,15943,42500,2,1,1,2
25,15943,62500,2,1,2,1
26,15943,125000,2,1,1,2
27,15943,125000,2,1,1,2
28,5139,225000,2,1,1,2
29,21457,42500,2,1,0,2
30,33401,125000,1,1,1,1
31,15992,-1,1,1,0,0
32,35745,125000,3,1,1,1
33,33301,42500,1,1,1,1
34,15440,87500,1,1,1,1
35,15859,-1,6,1,3,2
36,29311,250000,3,1,1,2
37,15985,125000,2,1,0,1
38,18337,125000,1,1,1,1
39,9301,62500,1,1,1,1
40,57631,62500,1,1,1,1
41,27486,175000,2,1,0,2
42,27486,87500,2,1,1,2
43,31525,62500,3,1,1,3
44,15153,62500,1,1,1,1
45,29144,62500,3,1,0,1
46,4354,125000,3,1,0,3
47,7106,62500,1,1,1,1
48,33604,62500,2,1,1,1
49,15437,225000,3,1,1,2
50,25634,-1,1,1,0,1
51,25634,62500,1,1,1,1
52,28983,42500,1,1,1,1
53,21158,87500,2,1,2,0
54,33218,87500,2,1,2,1
55,15975,87500,2,1,0,2
56,22080,125000,4,1,2,1
57,3285,125000,2,1,2,2
58,31233,30000,1,1,1,1
59,33078,87500,3,1,1,3
60,11596,175000,2,1,1,1
61,15619,17500,3,1,1,1
62,20407,62500,2,1,4,1
63,8763,87500,2,1,2,2
64,3864,17500,1,1,0,1
65,9778,250000,5,1,4,2
66,5849,125000,1,1,1,1
67,5849,125000,1,1,1,1
68,3892,125000,2,1,1,2
69,3892,17500,1,1,1,1
70,3892,30000,1,1,0,1
71,25925,42500,2,1,0,2
72,25925,30000,2,1,0,2
73,25925,30000,2,1,0,2
74,56053,125000,4,1,2,1
75,24496,17500,1,1,0,0
76,29541,-1,3,1,2,2
77,29541,87500,3,1,1,1
78,29541,125000,1,1,1,1
79,10924,125000,2,1,2,2
80,10924,125000,2,1,1,1
81,28362,250000,3,1,1,2
82,7704,-1,1,1,1,1
83,32658,87500,2,1,2,1
84,11618,30000,1,1,0,0
85,11618,5000,1,1,1,0
86,12573,17500,1,1,1,1
87,24239,125000,3,1,2,2
88,30456,17500,1,1,1,1
89,15908,125000,4,1,2,2
90,13112,87500,1,1,1,1
91,4136,-1,2,1,0,2
92,19336,125000,4,1,2,3
93,6153,225000,5,1,2,5
94,3894,62500,1,1,0,1
95,6153,125000,2,1,2,2
96,6153,125000,2,1,0,1
97,6153,42500,2,1,0,1
98,6153,5000,2,1,1,2
99,6153,-1,2,1,1,2
100,6153,87500,2,1,0,2
101,19136,125000,3,1,1,2
102,19157,125000,2,1,1,2
103,19157,62500,1,1,1,1
104,19157,125000,2,1,1,1
105,19157,62500,2,1,2,2
107,20615,62500,1,1,0,1
108,21457,87500,1,1,1,0
109,28850,175000,1,1,1,1
110,6906,250000,4,1,1,1
111,2907,175000,2,1,2,2
112,16511,125000,2,1,3,1
113,18807,17500,1,1,1,0
114,10961,30000,1,1,1,1
115,5849,125000,2,1,1,1
116,16176,175000,5,1,2,2
117,21935,-1,1,1,1,0
118,13170,125000,1,1,1,1
119,33320,175000,2,1,3,2
120,23695,17500,4,1,0,0
121,15683,62500,1,1,1,1
122,15683,42500,2,1,1,2
123,27237,62500,3,1,2,1
124,3386,-1,1,1,0,1
125,9407,250000,1,1,1,1
126,23975,42500,2,1,1,2
127,4371,175000,1,1,1,1
128,33997,62500,1,1,1,1
129,27094,-1,3,1,2,1
130,25634,17500,1,1,0,0
131,25634,17500,1,1,0,0
132,19126,125000,1,1,0,0
133,12384,87500,2,1,2,2
134,24321,250000,3,1,2,2
135,20544,30000,1,1,0,1
136,3406,-1,1,1,1,0
137,3406,62500,1,1,1,0
138,3406,225000,1,1,1,1
139,2546,87500,1,1,2,1
140,21893,175000,1,1,1,1
141,5804,87500,1,1,1,1
142,7973,30000,1,1,1,1
143,13932,225000,3,1,3,2
144,22442,225000,2,1,1,1
145,22442,250000,2,1,1,2
146,22442,87500,2,1,0,1
147,22442,42500,1,1,0,0
148,22442,125000,2,1,1,0
149,22442,125000,1,1,0,0
150,22442,87500,1,1,0,1
151,28618,87500,2,1,0,1
152,22442,125000,3,1,1,1
153,22442,62500,1,1,0,1
154,20462,87500,2,1,1,1
155,9504,250000,2,1,2,2
156,31377,62500,2,1,4,2
157,60968,62500,1,1,1,1
158,60968,62500,1,1,2,0
159,26119,125000,3,1,2,3
160,20665,42500,2,1,1,2
161,816,175000,2,1,1,2
162,12125,42500,2,1,2,2
163,6789,-1,3,1,1,1
164,31523,87500,4,1,2,2
165,940,-1,2,1,3,0
166,23515,62500,1,1,0,1
167,23515,175000,2,1,1,2
168,4120,17500,1,1,0,1
169,29160,-1,4,1,2,2
170,12628,30000,1,1,0,1
171,4369,62500,1,1,1,1
172,4369,62500,3,1,2,2
173,573,87500,3,1,3,2
174,871,42500,1,1,1,0
175,871,87500,1,1,1,1
176,15451,5000,1,1,0,0
177,15451,17500,2,1,0,0
178,15451,17500,1,1,0,1
179,3894,87500,1,1,1,1
180,3894,87500,2,1,0,2
181,3894,87500,1,1,0,1
182,3894,-1,2,1,0,2
183,3894,42500,1,1,0,1
184,3894,-1,2,1,0,1
185,3894,62500,1,1,1,1
186,3894,175000,2,1,1,2
187,65474,125000,2,1,3,2
188,30216,125000,2,1,2,2
189,227,175000,2,1,1,2
190,18631,30000,1,1,0,0
191,24494,225000,2,1,2,2
192,550,87500,3,1,1,1
193,16429,-1,1,1,1,1
194,24347,62500,1,1,1,1
195,30169,87500,1,1,1,1
196,11546,42500,2,1,2,2
197,13934,42500,2,1,1,2
198,6656,87500,1,1,1,1
199,59846,125000,2,1,3,2
200,14631,125000,6,1,2,2
201,33075,-1,1,1,1,1
202,35782,42500,4,1,1,0
203,35782,62500,2,1,1,1
204,35782,125000,4,1,1,1
205,35782,87500,2,1,2,2
206,6672,17500,1,1,1,1
207,14629,125000,3,1,1,2
208,465,175000,2,1,2,2
209,4897,42500,2,1,1,2
210,34164,125000,3,1,3,1
211,8387,42500,1,1,1,0
212,29133,17500,1,1,1,0
213,1768,62500,1,1,1,1
214,1768,87500,1,1,1,1
215,34626,-1,2,1,0,2
216,33264,87500,2,1,1,2
217,33264,125000,2,1,1,2
218,21331,225000,1,1,1,1
219,3731,225000,3,1,1,1
220,21464,17500,1,1,0,1
221,58197,225000,4,1,2,1
222,8427,175000,1,1,1,1
223,11108,125000,3,1,1,2
224,27217,30000,2,1,1,1
225,27217,62500,1,1,1,1
226,15433,62500,2,1,1,1
227,15433,17500,1,1,1,0
228,7699,125000,2,1,1,1
229,33525,87500,4,1,3,1
230,34887,175000,3,1,1,1
231,34887,125000,1,1,1,1
232,22123,42500,2,1,2,2
233,23087,225000,4,1,3,2
234,11613,42500,1,1,1,1
235,4147,250000,1,1,0,1
236,4147,17500,1,1,1,1
237,4147,250000,2,1,1,2
238,4147,225000,1,1,1,1
239,4147,87500,1,1,0,1
240,21444,125000,2,1,1,1
241,21818,87500,1,1,1,1
242,5354,125000,2,1,1,0
243,55001,175000,3,1,2,2
244,16218,225000,2,1,2,2
245,20040,125000,4,1,2,2
246,58252,42500,3,1,2,1
247,1189,225000,2,1,3,2
248,12600,175000,2,1,2,2
249,4680,87500,1,1,1,1
250,13169,42500,2,1,1,2
251,4863,87500,2,1,1,2
252,25894,17500,1,1,1,1
253,33557,30000,1,1,0,1
254,33074,42500,4,1,2,0
255,5888,87500,2,1,3,2
256,5410,62500,2,1,2,0
257,12237,-1,1,1,1,1
258,26141,62500,4,1,2,2
259,22145,42500,1,1,0,1
260,27159,17500,1,1,0,1
261,3871,175000,2,1,1,2
262,61423,125000,1,1,1,0
263,32543,17500,1,1,0,1
264,24474,62500,1,1,1,1
265,60982,125000,2,1,2,1
266,11082,-1,2,1,1,2
267,55780,-1,5,1,2,1
268,55502,5000,1,1,1,0
269,26120,30000,3,1,4,2
270,34164,225000,3,1,1,2
271,34164,125000,1,1,1,1
272,19983,87500,1,1,1,1
273,19983,250000,1,1,1,1
274,19983,175000,3,1,0,1
275,2903,87500,2,1,1,2
276,58888,87500,2,1,2,2
277,19387,62500,5,1,1,2
278,2910,62500,1,1,0,1
279,20618,125000,1,1,0,1
280,20950,125000,2,1,1,0
281,22152,42500,1,1,1,0
282,15975,17500,1,1,1,1
283,20238,87500,1,1,1,1
284,20238,125000,1,1,1,1
285,25454,-1,2,1,2,1
286,170,125000,1,1,1,1
287,22716,42500,1,1,1,1
288,12898,-1,2,1,1,2
289,20600,42500,2,1,1,2
290,16227,62500,2,1,1,1
291,485,30000,1,1,0,1
292,485,17500,1,1,0,1
293,4691,5000,2,1,2,2
294,21436,175000,1,1,1,1
295,21436,125000,1,1,1,1
296,21436,125000,2,1,2,2
297,21436,125000,3,1,3,3
298,21436,87500,2,1,1,2
299,8203,62500,1,1,1,1
300,23525,62500,2,1,0,0
301,31236,250000,3,1,1,2
302,19318,125000,4,1,2,2
303,13934,87500,1,1,1,0
304,7945,42500,1,1,0,1
305,33011,-1,1,1,0,0
306,32542,42500,1,1,1,1
307,32542,42500,1,1,0,1
308,62360,125000,3,1,1,2
309,34627,125000,2,1,1,2
310,5154,125000,2,1,0,2
311,19100,175000,1,1,1,1
312,12556,125000,3,1,3,3
313,20457,42500,1,1,1,1
314,19243,250000,2,1,2,1
315,19451,125000,1,1,1,1
316,12377,87500,1,1,1,1
317,21014,87500,2,1,0,2
318,57618,125000,2,1,5,2
319,21893,62500,2,1,1,1
320,30446,-1,1,1,1,1
321,30446,225000,2,1,0,2
322,33863,125000,1,1,0,1
323,20740,175000,3,1,2,2
324,18646,125000,4,1,1,2
325,25019,62500,1,1,0,1
326,4369,42500,1,1,1,1
327,61066,-1,2,1,2,2
328,4369,87500,2,1,2,2
329,19114,87500,2,1,2,1
330,33320,175000,2,1,2,2
331,33320,87500,2,1,1,2
332,32480,125000,2,1,1,2
333,12904,87500,4,1,2,1
335,29657,42500,1,1,0,0
336,1648,62500,1,1,1,1
337,1648,17500,2,1,1,2
338,1648,250000,1,1,1,1
339,1648,-1,2,1,2,2
340,1648,125000,1,1,3,0
341,20955,-1,1,1,1,0
342,25219,87500,2,1,1,2
343,19031,225000,4,1,3,2
344,28834,175000,2,1,2,2
345,696,42500,4,1,1,1
346,27155,175000,2,1,1,2
347,5362,62500,2,1,1,0
348,3759,225000,2,1,2,2
349,3759,175000,2,1,2,0
350,61196,125000,1,1,1,1
351,25052,125000,2,1,2,2
352,34042,-1,2,1,2,2
353,2892,17500,1,1,0,0
354,2892,17500,1,1,0,0
355,16343,87500,2,1,2,2
356,16343,175000,2,1,2,1
357,16343,-1,1,1,1,1
358,16343,-1,3,1,0,1
359,16343,175000,2,1,1,2
360,5804,87500,4,1,2,1
361,5804,250000,2,1,2,2
362,5804,175000,1,1,0,1
363,5804,42500,1,1,1,1
364,5804,87500,2,1,2,1
365,5804,87500,1,1,1,1
366,5804,42500,1,1,1,1
367,5804,62500,3,1,1,1
368,5804,125000,2,1,1,2
369,22757,42500,1,1,0,1
370,29671,42500,2,1,0,1
371,22704,125000,1,1,1,0
372,25924,87500,2,1,2,1
373,25924,175000,1,1,1,1
374,34945,225000,3,1,2,1
375,63475,125000,4,1,2,2
376,4361,175000,1,1,1,1
377,16715,-1,2,1,1,0
378,21811,87500,1,1,0,1
379,18549,42500,1,1,0,1
380,58588,250000,2,1,3,0
381,19634,5000,4,1,0,0
382,13191,62500,1,1,1,1
383,21437,87500,1,1,1,1
384,21437,-1,1,1,1,0
385,21437,62500,1,1,1,1
386,3189,125000,2,1,1,1
387,9528,62500,1,1,0,1
388,3189,175000,2,1,0,2
389,5720,30000,1,1,0,1
390,21437,175000,2,1,2,2
391,18634,175000,2,1,1,0
392,13680,42500,2,1,0,0
393,13680,62500,1,1,0,1
394,13680,125000,2,1,1,2
395,34606,125000,2,1,1,1
396,14627,125000,3,1,1,2
397,4061,175000,2,1,2,2
398,4061,-1,1,1,0,1
399,4061,250000,1,1,0,1
400,26952,175000,3,1,1,2
401,30381,125000,1,1,2,0
402,7634,125000,1,1,1,1
403,16857,-1,1,1,1,0
404,17002,17500,1,1,1,1
405,27331,225000,2,1,1,1
406,3366,42500,1,1,1,1
407,30128,-1,2,1,2,0
408,25937,30000,1,1,1,0
409,28561,62500,1,1,1,1
410,6606,175000,2,1,0,1
411,6606,-1,1,1,1,1
412,17049,87500,4,1,1,2
413,16463,30000,1,1,1,1
414,18261,225000,1,1,1,0
415,2894,17500,1,1,0,1
416,27424,125000,1,1,1,1
417,8952,17500,1,1,1,1
418,21668,62500,1,1,1,1
419,30935,175000,2,1,2,2
420,14183,125000,1,1,1,1
421,14183,62500,2,1,1,0
422,13940,125000,3,1,1,2
423,31541,30000,2,1,1,2
424,14520,125000,2,1,2,2
425,1878,62500,1,1,1,1
426,31219,87500,2,1,2,2
427,608,87500,1,1,1,1
428,30403,225000,4,1,1,1
429,27865,125000,2,1,4,1
430,21932,42500,1,1,1,0
431,62847,87500,1,1,1,1
432,938,87500,2,1,1,1
433,11620,225000,2,1,1,0
434,65203,125000,4,1,2,4
435,849,17500,2,1,1,2
436,33098,17500,2,1,0,0
437,13191,87500,2,1,1,2
438,8804,175000,2,1,2,2
439,8804,125000,2,1,1,2
440,28370,62500,1,1,1,1
441,19131,62500,2,1,2,1
442,31522,17500,1,1,1,0
443,24813,225000,2,1,2,2
444,33301,17500,1,1,0,1
445,4354,87500,2,1,1,2
446,23739,87500,1,1,1,1
447,13139,125000,2,1,1,1
448,11620,-1,2,1,1,2
449,11620,250000,1,1,1,1
450,11620,62500,2,1,1,1
451,22716,87500,1,1,1,1
452,1349,125000,3,1,2,2
453,32274,42500,2,1,1,2
454,25628,62500,1,1,1,1
455,25860,125000,2,1,4,2
456,31283,17500,2,1,1,0
457,12525,125000,2,1,3,1
458,17523,225000,3,1,2,1
459,23679,62500,1,1,1,1
460,23679,62500,2,1,1,2
461,23101,250000,4,1,2,1
462,27728,225000,2,1,1,2
463,33077,125000,2,1,2,2
464,29653,125000,1,1,1,1
465,7944,62500,2,1,1,2
466,15847,5000,2,1,1,1
467,15847,-1,1,1,1,0
468,15847,-1,4,1,1,1
469,30985,30000,2,1,1,0
470,30985,225000,2,1,3,0
471,30985,-1,2,1,1,0
472,30985,-1,1,1,1,0
473,30985,250000,1,1,1,0
474,30985,225000,1,1,1,1
475,30985,250000,1,1,1,1
476,30985,250000,2,1,1,1
477,15998,125000,2,1,1,2
478,16187,42500,3,1,1,3
479,17049,62500,2,1,2,1
480,21972,225000,4,1,2,2
481,25863,5000,3,1,1,0
482,10321,62500,2,1,0,2
483,24492,175000,2,1,2,2
484,65106,-1,1,1,0,0
485,33321,17500,1,1,0,1
486,33321,125000,1,1,0,1
487,62110,62500,3,1,2,2
488,7971,62500,1,1,1,0
489,13673,62500,1,1,0,1
490,27206,62500,2,1,1,1
491,27481,250000,1,1,1,1
492,1479,17500,3,1,1,1
493,29881,175000,2,1,1,2
494,15451,5000,1,1,0,0
495,15451,62500,1,1,0,1
496,5035,175000,2,1,2,2
497,23547,87500,2,1,2,2
498,7635,87500,1,1,0,1
499,27749,250000,3,1,1,2
500,61834,250000,5,1,3,1
501,12098,5000,2,1,1,1
502,65929,125000,2,1,2,0
503,17042,62500,1,1,1,1
504,873,175000,3,1,1,2
505,21930,250000,1,1,1,1
506,18015,62500,2,1,1,2
507,19358,250000,2,1,3,2
508,20407,125000,4,1,2,1
509,15988,62500,1,1,0,1
510,55121,125000,3,1,3,3
511,56209,125000,1,1,1,1
512,21822,87500,2,1,1,1
513,20615,17500,2,1,2,2
514,18631,5000,1,1,1,1
515,29353,-1,3,1,2,2
516,5569,62500,2,1,1,2
517,801,87500,2,1,2,0
518,1648,125000,1,1,0,1
519,1648,5000,2,1,0,2
520,1648,175000,2,1,1,2
521,6811,87500,1,1,1,0
522,27200,250000,2,1,2,1
523,29951,225000,3,1,1,2
524,21935,87500,1,1,1,1
525,33077,62500,1,1,1,1
526,746,250000,2,1,1,2
527,746,125000,1,1,1,1
528,746,125000,1,1,0,1
529,15942,125000,1,1,1,1
530,23489,87500,1,1,1,1
531,2901,125000,1,1,0,1
532,25327,87500,1,1,0,1
533,25327,62500,1,1,1,1
534,25327,42500,2,1,1,1
535,25327,30000,1,1,0,0
536,37878,42500,5,1,3,3
537,37376,62500,3,1,3,2
538,46592,5000,3,1,1,0
539,45227,-1,2,1,4,0
540,50147,30000,2,1,1,1
541,50480,30000,3,1,2,1
542,49864,62500,1,1,1,1
543,43265,175000,2,1,3,1
544,52633,62500,3,1,2,3
545,41594,175000,3,1,2,2
546,36775,250000,2,1,6,0
547,38872,17500,3,1,2,1
548,48854,175000,4,1,5,2
549,51692,62500,1,1,1,1
550,46835,42500,1,1,1,0
551,49760,17500,1,1,1,0
552,41440,87500,1,1,1,1
553,33487,175000,2,1,1,0
554,36572,62500,2,1,1,2
555,39041,42500,1,1,0,1
556,41439,62500,2,1,2,2
557,38105,62500,2,1,2,0
558,41109,125000,1,1,1,0
559,42729,62500,5,1,2,2
560,46579,30000,4,1,1,1
561,45222,125000,1,1,1,1
562,43895,42500,2,1,1,2
563,54666,-1,1,1,0,1
564,54061,125000,2,1,3,2
565,41405,62500,4,1,2,0
566,42011,42500,1,1,1,1
567,42908,125000,1,1,1,1
568,46533,42500,2,1,2,2
569,37797,125000,2,1,5,1
570,40071,125000,2,1,2,2
571,37112,87500,2,1,1,2
572,38105,42500,1,1,1,1
573,38806,-1,2,1,2,0
574,46592,62500,1,1,1,0
575,45138,5000,1,1,1,0
576,45915,17500,1,1,1,0
577,49864,62500,2,1,2,1
578,45751,62500,2,1,4,1
579,40384,125000,2,1,2,1
580,41165,30000,2,1,1,2
581,54908,87500,2,1,1,0
582,45132,87500,2,1,1,2
583,52937,175000,2,1,2,2
584,47511,42500,2,1,2,0
585,46978,125000,2,1,3,0
586,37714,87500,2,1,2,2
587,38269,30000,2,1,4,0
588,45814,125000,2,1,1,1
589,46349,-1,3,1,2,2
590,43795,5000,2,1,1,0
591,46020,-1,2,1,4,2
592,42781,225000,6,1,3,3
593,42165,87500,5,1,3,1
594,51653,-1,2,1,1,0
595,40319,87500,3,1,1,2
596,35882,17500,2,1,1,1
597,38229,250000,2,1,2,0
598,39021,-1,2,1,2,0
599,38692,62500,5,1,3,1
600,36597,62500,2,1,2,2
601,45959,30000,1,1,1,1
602,50381,87500,5,1,2,3
603,44012,87500,2,1,4,1
604,51044,62500,1,1,2,0
605,47112,175000,4,1,2,2
606,36753,30000,1,1,1,1
607,40969,30000,1,1,1,0
608,48306,-1,1,1,2,0
609,37567,175000,4,1,2,1
610,52806,62500,2,1,3,2
611,53685,125000,2,1,2,0
612,52725,17500,2,1,1,2
613,44591,87500,1,1,1,1
614,45903,125000,2,1,1,2
615,44784,125000,4,1,3,1
616,46414,125000,2,1,2,2
617,49734,125000,2,1,3,2
618,35998,62500,3,1,1,2
619,38954,87500,2,1,1,2
620,46862,62500,8,1,3,3
621,52474,30000,1,1,1,1
622,51463,125000,2,1,2,1
623,47946,17500,1,1,1,1
624,39853,62500,1,1,3,0
625,38121,30000,1,1,1,1
626,37440,17500,1,1,2,0
627,45074,125000,2,1,2,0
628,50280,125000,1,1,1,1
629,41160,17500,1,1,1,1
630,52253,87500,1,1,1,1
631,48990,17500,1,1,1,1
632,49617,62500,3,1,1,1
633,39256,175000,2,1,3,0
634,38638,87500,2,1,3,2
635,37797,125000,3,1,1,1
636,54235,250000,2,1,2,0
637,52056,62500,1,1,1,0
638,41139,42500,2,1,2,1
639,36224,-1,5,1,2,1
640,51564,42500,2,1,1,1
641,49864,125000,4,1,4,3
642,48545,225000,5,1,3,1
643,51287,62500,2,1,2,0
644,53228,175000,2,1,4,1
645,39221,175000,1,1,2,0
646,39124,87500,1,1,1,1
647,45992,42500,3,1,1,1
648,42933,87500,4,1,4,0
649,54066,-1,2,1,2,0
650,40281,225000,2,1,1,0
651,49678,17500,1,1,0,0
652,45031,87500,1,1,1,1
653,47842,87500,1,1,1,1
654,47842,17500,1,1,0,1
655,52267,17500,2,1,2,0
656,47842,-1,1,1,1,0
657,47844,62500,3,1,1,1
658,50387,-1,1,1,1,0
659,47716,-1,1,1,1,0
661,38159,125000,2,1,3,0
662,37749,175000,2,1,4,2
663,39746,-1,3,1,3,2
664,54864,87500,4,1,2,1
665,44003,125000,2,1,2,0
666,53864,62500,5,1,2,4
667,51899,87500,1,1,1,1
668,53723,87500,1,1,1,1
669,49785,62500,2,1,1,2
670,48628,125000,2,1,2,1
671,50684,87500,3,1,1,2
672,42777,42500,2,1,2,2
673,47673,87500,4,1,2,0
674,37161,62500,4,1,2,1
675,54779,125000,3,1,2,1
676,48213,17500,1,1,1,0
677,46588,62500,1,1,1,0
678,39735,62500,2,1,2,1
679,37489,87500,2,1,5,0
680,36580,125000,2,1,2,2
681,46062,250000,4,1,3,2
682,40711,175000,2,1,2,1
683,47972,175000,3,1,3,2
684,36866,42500,1,1,1,1
685,51083,87500,1,1,1,1
686,42328,87500,2,1,2,1
687,48213,42500,1,1,1,1
688,41965,87500,1,1,1,1
689,52888,42500,2,1,1,1
690,52545,175000,2,1,3,2
691,16000,17500,1,1,1,1
692,36911,-1,6,1,2,3
693,36918,125000,2,1,2,1
694,42543,87500,2,1,2,0
695,53746,87500,2,1,3,2
696,52474,17500,1,1,1,0
697,42533,62500,2,1,1,0
698,52647,17500,1,1,1,0
699,43906,42500,1,1,2,1
700,50613,42500,2,1,1,2
701,49175,-1,3,1,2,0
702,41395,62500,3,1,4,3
703,49852,-1,2,1,2,2
704,62997,125000,2,1,1,2
705,38057,250000,2,1,3,1
706,42592,225000,2,1,4,2
707,54590,175000,3,1,2,1
708,46811,125000,2,1,3,2
709,53145,62500,3,1,2,2
710,47722,125000,4,1,5,2
711,36840,42500,2,1,1,0
712,38591,87500,3,1,1,1
713,50506,42500,2,1,2,0
714,49462,5000,1,1,2,0
715,46967,62500,3,1,2,2
716,52474,5000,1,1,0,0
717,40600,-1,1,1,1,1
718,50117,62500,8,1,2,2
719,50674,-1,2,1,2,1
720,37465,175000,3,1,2,2
721,41468,30000,3,1,1,0
722,53271,30000,5,1,0,3
723,48944,62500,1,1,1,0
724,42079,225000,4,1,2,2
725,46601,17500,1,1,1,0
726,53942,125000,2,1,4,0
727,41344,17500,2,1,1,1
728,46898,87500,3,1,1,1
729,43614,-1,2,1,2,0
730,39392,42500,2,1,2,0
731,37743,125000,2,1,2,2
732,37743,175000,2,1,1,1
733,50711,17500,1,1,1,1
734,49446,62500,1,1,1,1
735,49395,225000,5,1,2,2
736,36476,42500,1,1,1,1
737,48694,42500,2,1,1,1
738,38479,-1,2,1,2,0
739,37090,225000,2,1,5,2
740,52773,-1,4,1,1,2
742,49995,42500,7,1,2,1
743,47909,87500,1,1,1,1
744,37208,125000,2,1,1,2
745,41477,42500,1,1,1,1
746,43036,42500,3,1,0,1
747,36655,125000,3,1,2,2
748,36667,125000,5,1,2,1
749,36371,42500,1,1,1,0
750,52800,42500,2,1,2,1
751,47842,62500,3,1,2,2
752,49467,125000,2,1,2,2
753,51351,-1,4,1,4,2
754,35852,87500,2,1,2,2
755,45970,175000,3,1,3,3
756,50008,125000,4,1,4,3
757,49738,87500,2,1,1,1
758,37809,250000,4,1,2,1
759,44012,125000,4,1,2,2
760,45128,87500,2,1,1,2
761,48582,30000,1,1,1,0
762,50674,-1,2,1,2,0
763,54767,125000,4,1,3,1
764,40576,5000,6,1,0,1
765,39155,125000,2,1,2,0
766,36893,30000,2,1,2,2
767,41503,250000,2,1,3,0
768,45958,62500,1,1,2,0
769,50312,125000,2,1,3,1
770,41434,175000,2,1,2,1
771,41449,87500,2,1,2,2
772,50803,62500,2,1,1,1
773,52540,225000,1,1,2,1
774,54335,87500,2,1,4,2
775,39648,175000,2,1,2,0
776,39199,87500,1,1,1,1
777,43885,62500,4,1,2,3
778,50907,62500,4,1,2,2
779,44388,30000,1,1,1,1
780,46329,17500,1,1,1,1
781,53174,62500,2,1,3,2
782,38567,87500,2,1,2,0
783,42002,125000,2,1,2,2
784,37196,-1,2,1,2,2
785,52402,17500,3,1,2,2
786,46571,17500,3,1,1,2
787,47856,87500,1,1,1,1
788,51946,17500,2,1,0,1
789,52937,30000,1,1,1,1
790,47613,87500,1,1,1,1
791,48576,17500,3,1,2,1
792,12656,175000,1,1,1,1
793,12656,-1,2,1,1,1
794,12656,125000,1,1,1,1
795,36766,-1,4,1,2,1
796,51516,125000,5,1,2,2
797,54115,250000,2,1,2,2
